datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","AMBER","7410","7435.05","7353","7413.8","12366"
"2025-01-01 09:20:00","NSE","AMBER","7412.45","7461.45","7401.85","7447.95","12065"
"2025-01-01 09:25:00","NSE","AMBER","7448","7495","7420.15","7465.8","11364"
"2025-01-01 09:30:00","NSE","AMBER","7465.5","7479.1","7435.95","7455","8009"
"2025-01-01 09:35:00","NSE","AMBER","7458.75","7460","7432","7443.25","3923"
"2025-01-01 09:40:00","NSE","AMBER","7443.25","7463.35","7440","7463.35","2796"
"2025-01-01 09:45:00","NSE","AMBER","7457.8","7463.3","7421.7","7439","4372"
"2025-01-01 09:50:00","NSE","AMBER","7438.2","7493.25","7434.45","7493.05","5756"
"2025-01-01 09:55:00","NSE","AMBER","7491.9","7620","7483.55","7619.6","32071"
"2025-01-01 10:00:00","NSE","AMBER","7615.25","7668.9","7545","7568.95","32106"
"2025-01-01 10:05:00","NSE","AMBER","7569","7614","7537.55","7560.4","15162"
"2025-01-01 10:10:00","NSE","AMBER","7560.4","7609.8","7550.4","7576.85","10330"
"2025-01-01 10:15:00","NSE","AMBER","7569.75","7620","7569.75","7604.3","7824"
"2025-01-01 10:20:00","NSE","AMBER","7604.3","7620","7597.05","7615","6417"
"2025-01-01 10:25:00","NSE","AMBER","7615","7649","7595.8","7607","12168"
"2025-01-01 10:30:00","NSE","AMBER","7600.7","7688","7600","7675.25","24640"
"2025-01-01 10:35:00","NSE","AMBER","7675.7","7850","7670.8","7810","69546"
"2025-01-01 10:40:00","NSE","AMBER","7809.1","7820","7767.25","7775.7","25402"
"2025-01-01 10:45:00","NSE","AMBER","7772","7800","7750","7787.25","21838"
"2025-01-01 10:50:00","NSE","AMBER","7785","7787.2","7752.75","7780.55","9066"
"2025-01-01 10:55:00","NSE","AMBER","7780.55","7815","7724","7734","24149"
"2025-01-01 11:00:00","NSE","AMBER","7734","7765","7730","7733.95","8056"
"2025-01-01 11:05:00","NSE","AMBER","7735.5","7756","7730.25","7743","5803"
"2025-01-01 11:10:00","NSE","AMBER","7749.4","7794.8","7725.8","7776.45","15251"
"2025-01-01 11:15:00","NSE","AMBER","7770.65","7780","7770.65","7776.5","3365"
