datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,1651.1,1657.75,1648.85,1655,2730,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,1653.95,1653.95,1649.1,1650,2387,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,1650,1652.9,1649.35,1652.25,1178,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,1652,1655.05,1645.75,1648,8123,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,1648,1650,1646.65,1649.75,1299,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,1648.6,1648.9,1645,1646.9,2152,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,1646.6,1646.6,1643.7,1644.05,1784,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,1644.95,1645,1641.75,1644.65,3454,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,1644.6,1646.45,1643.05,1646,1626,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,1646.15,1649.45,1645.2,1647.3,1978,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,1646.5,1648.5,1646.5,1647.85,606,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,1647.15,1649.95,1646.85,1648.35,2052,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,1647.75,1648.15,1645.2,1646.65,1972,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,1647.2,1649.85,1646.25,1649.5,563,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,1649.5,1649.95,1648.55,1648.85,258,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,1649.95,1649.95,1648.75,1649,274,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,1648.95,1649.55,1645,1647.55,2814,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,1647.6,1648,1646.4,1648,512,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,1648,1650,1647.5,1649.1,893,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,1650,1652,1649.65,1652,1288,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,1652,1655.9,1651.5,1654.95,2014,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,1654.95,1655,1652,1653.35,3083,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,1653,1653.85,1652,1652.5,596,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,1653,1653.9,1652.5,1653.9,434,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,1653.9,1653.9,1652.7,1652.75,361,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:20:00,1652.85,1653.75,1651,1651.05,1854,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:25:00,1651.1,1653.6,1651.05,1653.6,2034,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:30:00,1653.4,1653.4,1649.4,1649.4,1454,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:35:00,1648.55,1649.45,1647.15,1648.05,544,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:40:00,1647.25,1649.15,1647.15,1647.8,367,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:45:00,1648.9,1649,1647.85,1648.05,265,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:50:00,1648.05,1649.05,1648.05,1648.8,337,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:55:00,1648.6,1648.85,1647.35,1648.45,527,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 12:00:00,1648.5,1648.5,1647.1,1648,331,-0.8169,0.0000,-100.00,0.0000,100.00
2025-01-01 12:05:00,1648,1649.75,1647.05,1648.7,727,-0.7049,0.0000,-100.00,0.0000,100.00
2025-01-01 12:10:00,1648.6,1650.25,1648.15,1648.95,1337,-0.5889,0.0000,-100.00,0.0000,100.00
2025-01-01 12:15:00,1648.95,1649.8,1648.1,1648.55,699,-0.5166,0.0000,-100.00,0.0000,100.00
2025-01-01 12:20:00,1648.6,1652,1648.55,1652,780,-0.2286,0.0000,-100.00,0.0000,100.00
2025-01-01 12:25:00,1651.3,1653,1651.05,1651.05,1018,-0.1008,0.0000,-100.00,0.0000,100.00
2025-01-01 12:30:00,1651.8,1651.8,1650,1650.1,1042,-0.0798,0.0000,-100.00,0.0000,100.00
2025-01-01 12:35:00,1650.15,1651,1649,1649,1038,-0.1363,0.0000,-100.00,0.0000,100.00
2025-01-01 12:40:00,1649,1650.5,1648.95,1649,662,-0.1679,0.0000,-100.00,0.0000,100.00
2025-01-01 12:45:00,1649.05,1651,1649,1649.9,843,-0.1245,0.0000,-100.00,0.0000,100.00
2025-01-01 12:50:00,1649.9,1650.4,1649,1649.95,589,-0.0901,0.0000,-100.00,0.0000,100.00
2025-01-01 12:55:00,1650,1650,1648,1648.25,632,-0.1749,0.0000,-100.00,0.0000,100.00
2025-01-01 13:00:00,1647.5,1649.75,1647.2,1647.9,628,-0.2432,0.0000,-100.00,0.0000,100.00
2025-01-01 13:05:00,1648.55,1650.15,1648.2,1649,564,-0.2046,0.0000,-100.00,0.0000,100.00
2025-01-01 13:10:00,1649,1649,1645.35,1646.95,2802,-0.3015,0.0000,-100.00,0.0000,100.00
2025-01-01 13:15:00,1646.95,1649.35,1646.2,1648,672,-0.2798,0.0000,-100.00,0.0000,100.00
2025-01-01 13:20:00,1648,1648.3,1647.2,1648.1,262,-0.2449,0.0000,-100.00,0.0000,100.00
2025-01-01 13:25:00,1647.2,1648,1646,1646.65,1044,-0.3018,0.0000,-100.00,0.0000,100.00
2025-01-01 13:30:00,1647,1647.8,1646.55,1647.4,318,-0.2723,0.0000,-100.00,0.0000,100.00
