datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","BANDHANBNK","159.06","159.85","159.06","159.82","161027"
"2025-01-01 09:20:00","NSE","BANDHANBNK","159.8","159.9","159.42","159.64","86762"
"2025-01-01 09:25:00","NSE","BANDHANBNK","159.74","160.24","159.52","160.15","121042"
"2025-01-01 09:30:00","NSE","BANDHANBNK","160.15","160.6","159.72","159.8","205650"
"2025-01-01 09:35:00","NSE","BANDHANBNK","159.8","160.75","159.68","160.63","177428"
"2025-01-01 09:40:00","NSE","BANDHANBNK","160.64","160.68","160.16","160.25","88816"
"2025-01-01 09:45:00","NSE","BANDHANBNK","160.3","160.3","159.49","159.66","112896"
"2025-01-01 09:50:00","NSE","BANDHANBNK","159.65","159.65","159.14","159.15","130768"
"2025-01-01 09:55:00","NSE","BANDHANBNK","159.17","159.3","159.02","159.24","76542"
"2025-01-01 10:00:00","NSE","BANDHANBNK","159.23","159.61","159.15","159.45","93345"
"2025-01-01 10:05:00","NSE","BANDHANBNK","159.46","159.76","159.29","159.76","64532"
"2025-01-01 10:10:00","NSE","BANDHANBNK","159.76","159.92","159.33","159.59","170011"
"2025-01-01 10:15:00","NSE","BANDHANBNK","159.59","159.84","159.59","159.76","57344"
"2025-01-01 10:20:00","NSE","BANDHANBNK","159.77","160.01","159.59","159.95","46477"
"2025-01-01 10:25:00","NSE","BANDHANBNK","159.95","160.1","159.9","160.08","29070"
"2025-01-01 10:30:00","NSE","BANDHANBNK","160.01","160.11","159.91","160","11310"
"2025-01-01 10:35:00","NSE","BANDHANBNK","160","160.11","159.8","160.01","17161"
"2025-01-01 10:40:00","NSE","BANDHANBNK","160.02","160.09","159.89","160.06","24342"
"2025-01-01 10:45:00","NSE","BANDHANBNK","160.06","160.4","159.97","160.29","46460"
"2025-01-01 10:50:00","NSE","BANDHANBNK","160.29","160.4","160.01","160.25","41935"
"2025-01-01 10:55:00","NSE","BANDHANBNK","160.25","160.32","160.14","160.24","21864"
"2025-01-01 11:00:00","NSE","BANDHANBNK","160.24","160.38","160.16","160.25","35958"
"2025-01-01 11:05:00","NSE","BANDHANBNK","160.24","160.24","159.94","160.15","64704"
"2025-01-01 11:10:00","NSE","BANDHANBNK","160.14","160.2","160.02","160.12","16408"
"2025-01-01 11:15:00","NSE","BANDHANBNK","160.13","160.3","160.08","160.23","15465"
"2025-01-01 11:20:00","NSE","BANDHANBNK","160.26","160.28","160.03","160.14","21918"
"2025-01-01 11:25:00","NSE","BANDHANBNK","160.14","160.15","159.87","159.94","29204"
"2025-01-01 11:30:00","NSE","BANDHANBNK","159.96","160.01","159.63","159.69","74250"
"2025-01-01 11:35:00","NSE","BANDHANBNK","159.69","159.86","159.59","159.76","58138"
"2025-01-01 11:40:00","NSE","BANDHANBNK","159.68","159.9","159.68","159.87","36242"
"2025-01-01 11:45:00","NSE","BANDHANBNK","159.81","159.89","159.52","159.55","66870"
"2025-01-01 11:50:00","NSE","BANDHANBNK","159.59","159.65","159.39","159.4","36125"
"2025-01-01 11:55:00","NSE","BANDHANBNK","159.4","159.44","159.28","159.37","18628"
"2025-01-01 12:00:00","NSE","BANDHANBNK","159.36","159.6","159.32","159.54","36641"
"2025-01-01 12:05:00","NSE","BANDHANBNK","159.51","159.54","159.35","159.45","40885"
"2025-01-01 12:10:00","NSE","BANDHANBNK","159.45","159.45","159.21","159.39","51457"
"2025-01-01 12:15:00","NSE","BANDHANBNK","159.39","159.68","159.35","159.68","28552"
"2025-01-01 12:20:00","NSE","BANDHANBNK","159.68","159.74","159.44","159.51","36402"
"2025-01-01 12:25:00","NSE","BANDHANBNK","159.51","159.57","159.39","159.43","18402"
"2025-01-01 12:30:00","NSE","BANDHANBNK","159.43","159.5","159.33","159.5","15269"
"2025-01-01 12:35:00","NSE","BANDHANBNK","159.45","159.64","159.38","159.63","30068"
"2025-01-01 12:40:00","NSE","BANDHANBNK","159.61","159.77","159.53","159.71","35547"
"2025-01-01 12:45:00","NSE","BANDHANBNK","159.71","159.71","159.6","159.65","5704"
"2025-01-01 12:50:00","NSE","BANDHANBNK","159.66","159.67","159.5","159.59","14901"
"2025-01-01 12:55:00","NSE","BANDHANBNK","159.52","159.59","159.33","159.4","34797"
"2025-01-01 13:00:00","NSE","BANDHANBNK","159.4","159.47","159.3","159.33","10403"
"2025-01-01 13:05:00","NSE","BANDHANBNK","159.35","159.41","159.27","159.35","15303"
"2025-01-01 13:10:00","NSE","BANDHANBNK","159.35","159.39","159.21","159.29","22174"
"2025-01-01 13:15:00","NSE","BANDHANBNK","159.29","159.42","159.23","159.33","9826"
"2025-01-01 13:20:00","NSE","BANDHANBNK","159.33","159.46","159.32","159.39","15062"
"2025-01-01 13:25:00","NSE","BANDHANBNK","159.39","159.44","159.31","159.4","11866"
"2025-01-01 13:30:00","NSE","BANDHANBNK","159.37","159.56","159.37","159.49","6202"
"2025-01-01 13:35:00","NSE","BANDHANBNK","159.49","159.51","159.37","159.5","22079"
"2025-01-01 13:40:00","NSE","BANDHANBNK","159.52","159.64","159.51","159.54","16096"
"2025-01-01 13:45:00","NSE","BANDHANBNK","159.58","159.69","159.52","159.67","19541"
"2025-01-01 13:50:00","NSE","BANDHANBNK","159.6","159.95","159.55","159.85","24292"
"2025-01-01 13:55:00","NSE","BANDHANBNK","159.85","160","159.78","160","23408"
"2025-01-01 14:00:00","NSE","BANDHANBNK","160","160.05","159.86","159.91","39625"
"2025-01-01 14:05:00","NSE","BANDHANBNK","159.9","160.18","159.9","160.01","62086"
"2025-01-01 14:10:00","NSE","BANDHANBNK","160","160.01","159.87","159.93","37564"
"2025-01-01 14:15:00","NSE","BANDHANBNK","159.93","159.96","159.8","159.87","17164"
"2025-01-01 14:20:00","NSE","BANDHANBNK","159.87","159.94","159.87","159.92","13591"
"2025-01-01 14:25:00","NSE","BANDHANBNK","159.93","160.05","159.91","159.93","25325"
"2025-01-01 14:30:00","NSE","BANDHANBNK","160","160","159.92","159.98","9180"
"2025-01-01 14:35:00","NSE","BANDHANBNK","159.99","160.03","159.89","159.94","35789"
"2025-01-01 14:40:00","NSE","BANDHANBNK","159.96","160.16","159.87","160.1","48604"
"2025-01-01 14:45:00","NSE","BANDHANBNK","160.1","160.1","159.82","160.01","31970"
"2025-01-01 14:50:00","NSE","BANDHANBNK","159.98","160.05","159.94","160.04","22764"
"2025-01-01 14:55:00","NSE","BANDHANBNK","160.04","160.08","159.96","160.01","28922"
"2025-01-01 15:00:00","NSE","BANDHANBNK","160","160.33","160","160.1","53834"
"2025-01-01 15:05:00","NSE","BANDHANBNK","160.1","160.1","159.82","159.96","44269"
"2025-01-01 15:10:00","NSE","BANDHANBNK","159.96","160.1","159.86","159.97","51257"
"2025-01-01 15:15:00","NSE","BANDHANBNK","159.97","159.97","159.8","159.83","56142"
"2025-01-01 15:20:00","NSE","BANDHANBNK","159.83","159.89","159.7","159.81","93301"
"2025-01-01 15:25:00","NSE","BANDHANBNK","159.81","160.3","159.77","160","130781"
"2025-01-02 09:15:00","NSE","BANDHANBNK","160.01","160.97","159.85","159.95","181794"
"2025-01-02 09:20:00","NSE","BANDHANBNK","159.93","160.12","159.4","159.45","194631"
"2025-01-02 09:25:00","NSE","BANDHANBNK","159.46","159.46","159.15","159.26","153200"
"2025-01-02 09:30:00","NSE","BANDHANBNK","159.26","159.39","159.01","159.15","122732"
"2025-01-02 09:35:00","NSE","BANDHANBNK","159.15","159.21","158.81","159.2","159863"
"2025-01-02 09:40:00","NSE","BANDHANBNK","159.2","159.25","159.01","159.21","42883"
"2025-01-02 09:45:00","NSE","BANDHANBNK","159.24","159.4","159.16","159.4","59633"
"2025-01-02 09:50:00","NSE","BANDHANBNK","159.39","159.39","159.05","159.26","85779"
"2025-01-02 09:55:00","NSE","BANDHANBNK","159.26","159.39","159.17","159.17","42083"
"2025-01-02 10:00:00","NSE","BANDHANBNK","159.17","159.49","159.17","159.49","31020"
"2025-01-02 10:05:00","NSE","BANDHANBNK","159.45","159.5","159.2","159.24","38970"
"2025-01-02 10:10:00","NSE","BANDHANBNK","159.24","159.24","158.8","158.81","157347"
"2025-01-02 10:15:00","NSE","BANDHANBNK","158.81","159.1","158.6","158.88","95508"
"2025-01-02 10:20:00","NSE","BANDHANBNK","158.88","158.88","158.25","158.29","238870"
"2025-01-02 10:25:00","NSE","BANDHANBNK","158.27","158.27","157.85","158.25","293867"
"2025-01-02 10:30:00","NSE","BANDHANBNK","158.25","158.35","158.15","158.23","86667"
"2025-01-02 10:35:00","NSE","BANDHANBNK","158.2","159.09","158.2","158.99","125298"
