datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","BEL","293.25","293.65","291.85","292.75","296668"
"2025-01-01 09:20:00","NSE","BEL","292.75","292.95","291.05","292.15","229445"
"2025-01-01 09:25:00","NSE","BEL","292.1","292.5","292","292.5","93077"
"2025-01-01 09:30:00","NSE","BEL","292.5","292.5","291.1","291.45","172675"
"2025-01-01 09:35:00","NSE","BEL","291.45","292","291.2","292","67802"
"2025-01-01 09:40:00","NSE","BEL","292","292.05","291.5","291.75","64069"
"2025-01-01 09:45:00","NSE","BEL","291.9","291.9","290.75","291.15","166891"
"2025-01-01 09:50:00","NSE","BEL","291.2","291.2","290.6","290.6","88453"
"2025-01-01 09:55:00","NSE","BEL","290.6","291.5","290.25","291.3","194203"
"2025-01-01 10:00:00","NSE","BEL","291.3","291.5","290.8","291.3","75617"
"2025-01-01 10:05:00","NSE","BEL","291.25","291.75","291","291.45","76300"
"2025-01-01 10:10:00","NSE","BEL","291.45","292.25","291.35","291.85","81171"
"2025-01-01 10:15:00","NSE","BEL","291.85","292","291.5","291.8","43099"
"2025-01-01 10:20:00","NSE","BEL","291.85","292","291.6","292","70282"
"2025-01-01 10:25:00","NSE","BEL","291.9","292.1","291.65","291.95","49432"
"2025-01-01 10:30:00","NSE","BEL","292.05","292.3","291.85","292.05","74064"
"2025-01-01 10:35:00","NSE","BEL","292.15","292.7","291.85","292.5","71531"
"2025-01-01 10:40:00","NSE","BEL","292.55","292.6","292.4","292.55","32082"
"2025-01-01 10:45:00","NSE","BEL","292.5","293","292.45","293","72898"
"2025-01-01 10:50:00","NSE","BEL","293","293.15","292.75","293.1","52420"
"2025-01-01 10:55:00","NSE","BEL","293.1","293.45","292.85","293.25","101997"
"2025-01-01 11:00:00","NSE","BEL","293.25","293.5","293.05","293.25","61540"
"2025-01-01 11:05:00","NSE","BEL","293.2","293.5","293","293.2","81142"
"2025-01-01 11:10:00","NSE","BEL","293.25","293.35","292.7","292.95","68957"
"2025-01-01 11:15:00","NSE","BEL","292.9","293.5","292.75","293.25","87404"
"2025-01-01 11:20:00","NSE","BEL","293.25","293.35","293","293.15","42518"
"2025-01-01 11:25:00","NSE","BEL","293.1","293.25","292.55","292.8","91036"
"2025-01-01 11:30:00","NSE","BEL","292.85","293","292.25","292.25","50742"
"2025-01-01 11:35:00","NSE","BEL","292.25","292.3","291.7","292.05","121169"
"2025-01-01 11:40:00","NSE","BEL","291.95","292.4","291.9","292.2","86061"
"2025-01-01 11:45:00","NSE","BEL","292.2","292.5","292","292","71060"
"2025-01-01 11:50:00","NSE","BEL","292","292.1","291.5","291.7","100845"
"2025-01-01 11:55:00","NSE","BEL","291.7","291.8","291.45","291.6","97618"
"2025-01-01 12:00:00","NSE","BEL","291.6","291.95","291.55","291.9","38717"
"2025-01-01 12:05:00","NSE","BEL","291.9","292.3","291.8","292.25","46916"
"2025-01-01 12:10:00","NSE","BEL","292.1","292.2","291.85","292.1","30158"
"2025-01-01 12:15:00","NSE","BEL","292.1","292.45","291.85","292.4","54686"
"2025-01-01 12:20:00","NSE","BEL","292.4","293","292.35","292.6","100867"
"2025-01-01 12:25:00","NSE","BEL","292.6","292.8","292.4","292.65","46164"
"2025-01-01 12:30:00","NSE","BEL","292.8","292.9","292.55","292.7","31896"
"2025-01-01 12:35:00","NSE","BEL","292.6","292.75","292.4","292.65","24751"
"2025-01-01 12:40:00","NSE","BEL","292.65","292.75","292.3","292.5","38619"
"2025-01-01 12:45:00","NSE","BEL","292.5","292.9","292.35","292.35","61235"
"2025-01-01 12:50:00","NSE","BEL","292.5","292.8","292.3","292.55","49815"
"2025-01-01 12:55:00","NSE","BEL","292.5","292.7","291.85","292","61772"
"2025-01-01 13:00:00","NSE","BEL","292","292.2","291.9","292.2","37626"
"2025-01-01 13:05:00","NSE","BEL","292.2","292.35","292.1","292.2","14750"
"2025-01-01 13:10:00","NSE","BEL","292.25","292.4","291.9","292.2","44810"
"2025-01-01 13:15:00","NSE","BEL","292.2","292.45","291.95","292.2","29735"
"2025-01-01 13:20:00","NSE","BEL","292.15","292.4","292.05","292.2","21048"
"2025-01-01 13:25:00","NSE","BEL","292.2","292.45","292.05","292.25","24336"
"2025-01-01 13:30:00","NSE","BEL","292.25","292.8","292.25","292.5","44833"
"2025-01-01 13:35:00","NSE","BEL","292.5","292.65","292.3","292.6","20129"
"2025-01-01 13:40:00","NSE","BEL","292.6","292.7","292.5","292.65","24958"
"2025-01-01 13:45:00","NSE","BEL","292.7","293.15","292.6","292.95","90780"
"2025-01-01 13:50:00","NSE","BEL","292.9","293","292.7","292.9","35920"
"2025-01-01 13:55:00","NSE","BEL","292.9","292.9","292.6","292.75","44745"
"2025-01-01 14:00:00","NSE","BEL","292.8","293.2","292.8","293.15","59663"
"2025-01-01 14:05:00","NSE","BEL","293.1","293.65","293","293.55","124665"
"2025-01-01 14:10:00","NSE","BEL","293.5","293.9","293.2","293.8","129522"
"2025-01-01 14:15:00","NSE","BEL","293.8","294","293.65","294","113930"
"2025-01-01 14:20:00","NSE","BEL","293.95","294.2","293.7","293.8","134495"
"2025-01-01 14:25:00","NSE","BEL","293.8","294.6","293.3","294.5","416507"
"2025-01-01 14:30:00","NSE","BEL","294.4","294.55","294.15","294.25","165410"
"2025-01-01 14:35:00","NSE","BEL","294.25","294.6","294.2","294.6","133437"
"2025-01-01 14:40:00","NSE","BEL","294.55","294.6","294.1","294.2","89718"
"2025-01-01 14:45:00","NSE","BEL","294.1","294.25","293.8","293.85","153773"
"2025-01-01 14:50:00","NSE","BEL","293.85","294","293.6","293.7","63869"
"2025-01-01 14:55:00","NSE","BEL","293.85","293.95","293.5","293.8","85670"
"2025-01-01 15:00:00","NSE","BEL","293.85","294","293.55","293.65","108906"
"2025-01-01 15:05:00","NSE","BEL","293.65","293.8","293.5","293.6","88296"
"2025-01-01 15:10:00","NSE","BEL","293.7","294","293.55","293.9","119733"
"2025-01-01 15:15:00","NSE","BEL","293.95","294.25","293.6","293.85","318562"
"2025-01-01 15:20:00","NSE","BEL","293.8","294.2","293.7","294","263437"
"2025-01-01 15:25:00","NSE","BEL","294","294.2","293.7","294","193987"
"2025-01-02 09:15:00","NSE","BEL","294.3","294.9","293","293.7","297746"
"2025-01-02 09:20:00","NSE","BEL","293.65","294.05","293.2","293.25","208451"
"2025-01-02 09:25:00","NSE","BEL","293.25","293.55","292.8","292.8","198116"
"2025-01-02 09:30:00","NSE","BEL","292.85","293.5","292.55","293.2","134948"
"2025-01-02 09:35:00","NSE","BEL","293.2","293.5","293","293.3","156709"
"2025-01-02 09:40:00","NSE","BEL","293.35","293.85","293.1","293.65","127141"
"2025-01-02 09:45:00","NSE","BEL","293.7","293.8","292.85","293","109362"
"2025-01-02 09:50:00","NSE","BEL","293","293.3","292.25","293.05","165957"
"2025-01-02 09:55:00","NSE","BEL","293.15","293.65","293","293.1","89293"
"2025-01-02 10:00:00","NSE","BEL","293.1","293.15","292.5","292.7","66871"
