datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,1303.3,1303.3,1294.6,1299.65,10503,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,1300,1300,1292.6,1294.65,9420,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,1295.45,1297.25,1293.9,1296.8,3076,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,1296.8,1296.8,1293,1294,3458,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,1294.4,1295.8,1292,1295.8,6257,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,1295.85,1295.95,1293.2,1294.1,1692,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,1294.1,1294.1,1290.5,1291.5,4818,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,1291.5,1291.5,1288.15,1289.25,10108,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,1289.25,1291,1288.15,1289.95,2382,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,1289.5,1294.15,1288.5,1292.25,9105,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,1292.65,1292.75,1290.75,1291.2,4746,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,1291,1294.95,1290.25,1292.1,1183,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,1292.3,1292.95,1291.15,1292,2699,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,1291.95,1293.9,1291.1,1293.8,4709,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,1293.1,1294.9,1292.15,1294.3,1645,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,1294.45,1294.9,1293.75,1294.9,1021,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,1294.9,1298,1294.75,1297.3,1930,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,1297.5,1297.55,1295.85,1296.55,729,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,1296.2,1299,1296,1298.5,4012,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,1298.5,1301.15,1297.05,1297.65,7266,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,1298.45,1299.3,1295.7,1296.75,1627,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,1296.6,1297.65,1295.8,1297.4,865,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,1297.4,1299.4,1296,1296.2,1515,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,1296.25,1296.8,1293.5,1295,3139,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,1295,1297.15,1294.95,1295.95,3342,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:20:00,1295.65,1296.15,1293.5,1294,3479,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:25:00,1294.2,1294.25,1291.1,1292.6,1465,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:30:00,1292.6,1292.6,1290.85,1290.85,1601,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:35:00,1290.6,1292,1290.35,1291.75,2778,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:40:00,1291.65,1293.3,1291.4,1292.5,1769,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:45:00,1292.65,1292.95,1291.45,1291.8,1166,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:50:00,1291.8,1292,1291,1291.15,1578,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:55:00,1291.15,1292,1291.15,1291.8,377,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 12:00:00,1291.85,1292.15,1291.05,1291.45,728,-0.5776,0.0000,-100.00,0.0000,100.00
2025-01-01 12:05:00,1292.4,1292.5,1289,1291.2,8525,-0.5226,0.0000,-100.00,0.0000,100.00
2025-01-01 12:10:00,1291.2,1292,1290.35,1292,842,-0.4083,0.0000,-100.00,0.0000,100.00
2025-01-01 12:15:00,1292,1292,1290.5,1291.4,958,-0.3512,0.0000,-100.00,0.0000,100.00
2025-01-01 12:20:00,1291.4,1292.75,1291.25,1292.75,1223,-0.2077,0.0000,-100.00,0.0000,100.00
2025-01-01 12:25:00,1292.7,1293.45,1291.8,1292.75,1497,-0.1032,0.0000,-100.00,0.0000,100.00
