datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","BLUESTARCO","2120.05","2131.9","2086.5","2130","8156"
"2025-01-01 09:20:00","NSE","BLUESTARCO","2130","2138.95","2125.75","2136.35","3401"
"2025-01-01 09:25:00","NSE","BLUESTARCO","2138","2153.35","2133.5","2153","3640"
"2025-01-01 09:30:00","NSE","BLUESTARCO","2152.2","2154.1","2145","2151.95","3732"
"2025-01-01 09:35:00","NSE","BLUESTARCO","2149.9","2155.05","2147","2152.4","2748"
"2025-01-01 09:40:00","NSE","BLUESTARCO","2153.65","2155.6","2145.8","2150.7","2260"
"2025-01-01 09:45:00","NSE","BLUESTARCO","2152.7","2159.9","2147.55","2153.4","5855"
"2025-01-01 09:50:00","NSE","BLUESTARCO","2153.4","2160.9","2151","2160.9","2810"
"2025-01-01 09:55:00","NSE","BLUESTARCO","2160.4","2166.3","2158","2163.2","5087"
"2025-01-01 10:00:00","NSE","BLUESTARCO","2164","2166.1","2157.15","2161.6","3991"
"2025-01-01 10:05:00","NSE","BLUESTARCO","2162.95","2163","2152.4","2157.15","3419"
"2025-01-01 10:10:00","NSE","BLUESTARCO","2157.15","2163.7","2155.75","2160.55","3600"
"2025-01-01 10:15:00","NSE","BLUESTARCO","2160.55","2163.15","2156.35","2162.1","1431"
"2025-01-01 10:20:00","NSE","BLUESTARCO","2162.5","2162.9","2157.5","2158.55","2158"
"2025-01-01 10:25:00","NSE","BLUESTARCO","2160.7","2168.55","2157.5","2168","3982"
"2025-01-01 10:30:00","NSE","BLUESTARCO","2168.45","2175","2166.35","2172.8","10560"
"2025-01-01 10:35:00","NSE","BLUESTARCO","2171.65","2176.1","2167.65","2176","8169"
"2025-01-01 10:40:00","NSE","BLUESTARCO","2174.8","2182.8","2173.7","2181.95","10358"
"2025-01-01 10:45:00","NSE","BLUESTARCO","2181.05","2209.95","2178","2200.75","52223"
"2025-01-01 10:50:00","NSE","BLUESTARCO","2200.3","2213","2190.2","2191.25","33655"
"2025-01-01 10:55:00","NSE","BLUESTARCO","2191.25","2210","2181.4","2208.05","52554"
"2025-01-01 11:00:00","NSE","BLUESTARCO","2208","2227","2207.15","2224.95","43419"
"2025-01-01 11:05:00","NSE","BLUESTARCO","2223.95","2231.3","2216.1","2230","66027"
"2025-01-01 11:10:00","NSE","BLUESTARCO","2229.1","2237","2225.1","2228.6","38126"
"2025-01-01 11:15:00","NSE","BLUESTARCO","2228.2","2245","2228.15","2235.15","25578"
"2025-01-01 11:20:00","NSE","BLUESTARCO","2235.15","2238","2222","2222.5","17097"
"2025-01-01 11:25:00","NSE","BLUESTARCO","2222.5","2230","2208","2216.4","26049"
"2025-01-01 11:30:00","NSE","BLUESTARCO","2217.75","2224.8","2214","2220.75","10194"
"2025-01-01 11:35:00","NSE","BLUESTARCO","2220.75","2223.1","2207","2210.05","10526"
"2025-01-01 11:40:00","NSE","BLUESTARCO","2212","2217","2205","2212","7417"
"2025-01-01 11:45:00","NSE","BLUESTARCO","2212.05","2223","2212","2217.55","7763"
"2025-01-01 11:50:00","NSE","BLUESTARCO","2218.75","2220","2211.95","2216.05","8549"
"2025-01-01 11:55:00","NSE","BLUESTARCO","2217.3","2218.5","2211.45","2213.1","2821"
"2025-01-01 12:00:00","NSE","BLUESTARCO","2213.15","2216.35","2212","2215.05","1698"
"2025-01-01 12:05:00","NSE","BLUESTARCO","2216","2219.1","2215","2216","2393"
"2025-01-01 12:10:00","NSE","BLUESTARCO","2216","2217.2","2212","2214","1618"
"2025-01-01 12:15:00","NSE","BLUESTARCO","2214","2226.2","2214","2220","15352"
"2025-01-01 12:20:00","NSE","BLUESTARCO","2221.25","2223","2215.5","2221.25","4725"
"2025-01-01 12:25:00","NSE","BLUESTARCO","2222.4","2231.55","2221.05","2226.9","10734"
"2025-01-01 12:30:00","NSE","BLUESTARCO","2226.5","2233.9","2226.5","2230.3","11699"
