datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","CDSL","1760.9","1767.3","1752.05","1763.55","62648"
"2025-01-01 09:20:00","NSE","CDSL","1764","1770.95","1757.7","1766","66920"
"2025-01-01 09:25:00","NSE","CDSL","1765.75","1771.8","1765","1771","35336"
"2025-01-01 09:30:00","NSE","CDSL","1770.55","1773.95","1765.45","1767.1","38278"
"2025-01-01 09:35:00","NSE","CDSL","1767.9","1776.45","1765.35","1775.15","37968"
"2025-01-01 09:40:00","NSE","CDSL","1775.8","1777.4","1773","1777","29575"
"2025-01-01 09:45:00","NSE","CDSL","1777","1779.8","1773","1779.8","43796"
"2025-01-01 09:50:00","NSE","CDSL","1779.8","1784.3","1777.05","1784.3","69116"
"2025-01-01 09:55:00","NSE","CDSL","1783.35","1794.5","1780.7","1794.5","110899"
"2025-01-01 10:00:00","NSE","CDSL","1794.5","1796.45","1784.5","1786.1","111412"
"2025-01-01 10:05:00","NSE","CDSL","1786","1787.85","1783.55","1786.5","40657"
"2025-01-01 10:10:00","NSE","CDSL","1786.5","1793.5","1785.25","1791.6","53616"
"2025-01-01 10:15:00","NSE","CDSL","1792","1802","1791.15","1801.4","94448"
"2025-01-01 10:20:00","NSE","CDSL","1801.4","1813","1801.2","1812.5","179424"
"2025-01-01 10:25:00","NSE","CDSL","1812","1814","1803.05","1805.9","117207"
"2025-01-01 10:30:00","NSE","CDSL","1805.5","1810","1801.8","1803.95","91383"
"2025-01-01 10:35:00","NSE","CDSL","1804","1808.65","1803.6","1807.6","33576"
"2025-01-01 10:40:00","NSE","CDSL","1808","1812","1806.85","1811.65","44932"
"2025-01-01 10:45:00","NSE","CDSL","1811.1","1815","1804","1805.5","91658"
"2025-01-01 10:50:00","NSE","CDSL","1805.5","1808.15","1802.55","1808","41106"
"2025-01-01 10:55:00","NSE","CDSL","1808","1811","1805.35","1808.55","37382"
"2025-01-01 11:00:00","NSE","CDSL","1809","1811.75","1808.05","1809.5","30457"
"2025-01-01 11:05:00","NSE","CDSL","1809.95","1813.75","1808.5","1812.8","35804"
"2025-01-01 11:10:00","NSE","CDSL","1812.95","1814.85","1810","1813.9","52155"
"2025-01-01 11:15:00","NSE","CDSL","1814","1822","1813.25","1819.45","152793"
"2025-01-01 11:20:00","NSE","CDSL","1820","1820.2","1812.15","1813.15","63678"
"2025-01-01 11:25:00","NSE","CDSL","1813.15","1814.45","1805","1805.85","63626"
"2025-01-01 11:30:00","NSE","CDSL","1805.95","1807.9","1802.6","1803.4","42953"
"2025-01-01 11:35:00","NSE","CDSL","1803.05","1804.4","1800","1801.65","50663"
"2025-01-01 11:40:00","NSE","CDSL","1802","1808.95","1801.5","1805.95","29510"
"2025-01-01 11:45:00","NSE","CDSL","1805.95","1808.55","1805","1805","18990"
"2025-01-01 11:50:00","NSE","CDSL","1805.4","1807","1803.05","1805.5","14253"
"2025-01-01 11:55:00","NSE","CDSL","1805.5","1807","1803.75","1805","14206"
"2025-01-01 12:00:00","NSE","CDSL","1804.95","1806.5","1803.65","1805.75","11663"
"2025-01-01 12:05:00","NSE","CDSL","1805.95","1806.85","1804.05","1806.05","14420"
"2025-01-01 12:10:00","NSE","CDSL","1806","1806.15","1804.05","1804.4","8084"
"2025-01-01 12:15:00","NSE","CDSL","1805.15","1805.5","1802.1","1802.75","22412"
"2025-01-01 12:20:00","NSE","CDSL","1802.75","1804.45","1802.1","1803.3","16700"
"2025-01-01 12:25:00","NSE","CDSL","1803.3","1803.3","1800.1","1802.5","20893"
"2025-01-01 12:30:00","NSE","CDSL","1802.5","1803.95","1801.2","1803.55","12888"
"2025-01-01 12:35:00","NSE","CDSL","1803.5","1803.5","1797","1799.7","42299"
"2025-01-01 12:40:00","NSE","CDSL","1799.7","1803.45","1798.2","1801.2","16354"
"2025-01-01 12:45:00","NSE","CDSL","1800.55","1802.45","1800","1801.85","6821"
"2025-01-01 12:50:00","NSE","CDSL","1801.85","1802.3","1799.8","1801.45","14704"
"2025-01-01 12:55:00","NSE","CDSL","1801.4","1801.95","1798.05","1798.5","8240"
"2025-01-01 13:00:00","NSE","CDSL","1799","1801.15","1798.2","1801","11537"
"2025-01-01 13:05:00","NSE","CDSL","1800.25","1801","1798.2","1799.3","8970"
"2025-01-01 13:10:00","NSE","CDSL","1798.6","1799.45","1797.05","1798","10078"
"2025-01-01 13:15:00","NSE","CDSL","1798.3","1807","1797.55","1807","34820"
"2025-01-01 13:20:00","NSE","CDSL","1806.9","1807","1805","1805.8","8539"
"2025-01-01 13:25:00","NSE","CDSL","1805.8","1808.7","1803.3","1808.7","23758"
"2025-01-01 13:30:00","NSE","CDSL","1808.7","1809.1","1806","1806.75","12651"
"2025-01-01 13:35:00","NSE","CDSL","1806.1","1809.95","1805","1809.95","24887"
"2025-01-01 13:40:00","NSE","CDSL","1809.95","1811.8","1808.2","1809.85","17583"
"2025-01-01 13:45:00","NSE","CDSL","1809.95","1811","1809","1809.8","9082"
"2025-01-01 13:50:00","NSE","CDSL","1809.8","1810.9","1809.1","1810.3","8084"
"2025-01-01 13:55:00","NSE","CDSL","1810.4","1811.9","1807.1","1810.7","20009"
"2025-01-01 14:00:00","NSE","CDSL","1810.7","1811.5","1808.8","1809","11399"
"2025-01-01 14:05:00","NSE","CDSL","1809","1810.6","1807.8","1808.55","14553"
"2025-01-01 14:10:00","NSE","CDSL","1808.85","1809.55","1807.6","1809","8529"
"2025-01-01 14:15:00","NSE","CDSL","1809","1810","1806.9","1809.1","13990"
"2025-01-01 14:20:00","NSE","CDSL","1809.4","1809.9","1808","1809","8989"
"2025-01-01 14:25:00","NSE","CDSL","1809.2","1809.9","1807.2","1808.05","7950"
"2025-01-01 14:30:00","NSE","CDSL","1808.5","1811","1808.1","1809.65","12460"
