datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","CROMPTON","395.8","395.85","393.75","394.35","8453"
"2025-01-01 09:20:00","NSE","CROMPTON","394.35","394.45","393.35","393.95","2020"
"2025-01-01 09:25:00","NSE","CROMPTON","393.85","393.85","391.75","391.75","6834"
"2025-01-01 09:30:00","NSE","CROMPTON","392","392","388.45","388.95","18439"
"2025-01-01 09:35:00","NSE","CROMPTON","388.9","389.4","387.15","388.15","41574"
"2025-01-01 09:40:00","NSE","CROMPTON","388.1","388.15","385.5","385.65","21618"
"2025-01-01 09:45:00","NSE","CROMPTON","385.4","386.45","385.3","386.2","21162"
"2025-01-01 09:50:00","NSE","CROMPTON","386.2","388","386","387.15","34528"
"2025-01-01 09:55:00","NSE","CROMPTON","387.05","388.55","386.6","388.2","33723"
"2025-01-01 10:00:00","NSE","CROMPTON","388.15","388.4","387","387.35","13914"
"2025-01-01 10:05:00","NSE","CROMPTON","387.3","387.75","386","387.35","38304"
"2025-01-01 10:10:00","NSE","CROMPTON","387.35","388.05","386.8","387.9","14896"
"2025-01-01 10:15:00","NSE","CROMPTON","387.9","387.9","386.8","387.45","11752"
"2025-01-01 10:20:00","NSE","CROMPTON","387.35","387.55","387.1","387.3","6824"
"2025-01-01 10:25:00","NSE","CROMPTON","387.55","388.2","387.55","388.2","23081"
"2025-01-01 10:30:00","NSE","CROMPTON","388.05","389.3","388","388.3","24667"
"2025-01-01 10:35:00","NSE","CROMPTON","388.3","388.75","387.8","388.65","9360"
"2025-01-01 10:40:00","NSE","CROMPTON","388.65","388.8","388","388.5","9885"
"2025-01-01 10:45:00","NSE","CROMPTON","388.35","388.75","388","388.7","7212"
"2025-01-01 10:50:00","NSE","CROMPTON","388.5","388.85","387.5","387.95","15545"
"2025-01-01 10:55:00","NSE","CROMPTON","387.95","388.5","387.1","387.9","33732"
"2025-01-01 11:00:00","NSE","CROMPTON","387.9","388.35","386.5","387.35","32450"
"2025-01-01 11:05:00","NSE","CROMPTON","387.4","388","387","387.1","11710"
"2025-01-01 11:10:00","NSE","CROMPTON","387.1","387.65","387.1","387.5","14361"
"2025-01-01 11:15:00","NSE","CROMPTON","387.8","388.3","387.4","387.85","17818"
"2025-01-01 11:20:00","NSE","CROMPTON","387.8","387.95","387.3","387.8","11804"
"2025-01-01 11:25:00","NSE","CROMPTON","387.8","387.9","387.3","387.4","10189"
"2025-01-01 11:30:00","NSE","CROMPTON","387.35","387.75","387.1","387.1","17822"
"2025-01-01 11:35:00","NSE","CROMPTON","387.05","387.25","386","386.2","33543"
"2025-01-01 11:40:00","NSE","CROMPTON","386.1","386.8","385.65","386.15","43182"
"2025-01-01 11:45:00","NSE","CROMPTON","386.2","386.3","385.5","386.25","33461"
"2025-01-01 11:50:00","NSE","CROMPTON","386.25","386.3","385.5","385.8","13870"
"2025-01-01 11:55:00","NSE","CROMPTON","385.9","386.25","385.5","385.5","13059"
"2025-01-01 12:00:00","NSE","CROMPTON","385.5","385.55","384.2","384.65","69102"
"2025-01-01 12:05:00","NSE","CROMPTON","384.75","385.1","383","383.5","68520"
"2025-01-01 12:10:00","NSE","CROMPTON","383.4","383.6","382.1","382.15","48194"
"2025-01-01 12:15:00","NSE","CROMPTON","382.6","384","382.4","383.9","32771"
"2025-01-01 12:20:00","NSE","CROMPTON","383.95","384.45","383.1","383.6","26294"
"2025-01-01 12:25:00","NSE","CROMPTON","383.65","384.2","383.6","383.9","8962"
"2025-01-01 12:30:00","NSE","CROMPTON","383.8","384.4","383.1","384","14829"
"2025-01-01 12:35:00","NSE","CROMPTON","384.05","384.1","383.65","384","13679"
"2025-01-01 12:40:00","NSE","CROMPTON","384","384.1","380.05","381.7","97348"
"2025-01-01 12:45:00","NSE","CROMPTON","381.7","382","381","381.2","38281"
"2025-01-01 12:50:00","NSE","CROMPTON","381.2","381.35","379.35","379.55","91106"
"2025-01-01 12:55:00","NSE","CROMPTON","379.2","379.85","374.6","374.85","186018"
"2025-01-01 13:00:00","NSE","CROMPTON","374.6","377.25","374","376.5","211293"
"2025-01-01 13:05:00","NSE","CROMPTON","376.6","377.55","375.75","377","75963"
"2025-01-01 13:10:00","NSE","CROMPTON","377","377.35","375.35","376.8","97739"
"2025-01-01 13:15:00","NSE","CROMPTON","376.8","378.7","376.4","378.6","77322"
"2025-01-01 13:20:00","NSE","CROMPTON","378.4","378.85","377.25","377.6","61089"
"2025-01-01 13:25:00","NSE","CROMPTON","377.5","377.65","376.5","376.9","41283"
"2025-01-01 13:30:00","NSE","CROMPTON","376.9","376.95","376.3","376.55","23786"
"2025-01-01 13:35:00","NSE","CROMPTON","376.55","376.75","375.1","376.6","67273"
"2025-01-01 13:40:00","NSE","CROMPTON","376.45","376.8","375.75","376.05","33938"
"2025-01-01 13:45:00","NSE","CROMPTON","376.05","377","376","376.9","26572"
"2025-01-01 13:50:00","NSE","CROMPTON","377","377.55","376.3","376.55","27037"
"2025-01-01 13:55:00","NSE","CROMPTON","376.55","377.5","375.3","376.35","89391"
"2025-01-01 14:00:00","NSE","CROMPTON","376.1","376.8","375.5","375.75","58895"
"2025-01-01 14:05:00","NSE","CROMPTON","375.75","376.05","375.45","375.7","49532"
"2025-01-01 14:10:00","NSE","CROMPTON","375.7","375.95","374.65","375.15","73270"
"2025-01-01 14:15:00","NSE","CROMPTON","375.15","376","374.7","375.5","70713"
"2025-01-01 14:20:00","NSE","CROMPTON","375.4","376.7","375.3","376.45","62795"
"2025-01-01 14:25:00","NSE","CROMPTON","376.45","376.45","375","375.95","46082"
"2025-01-01 14:30:00","NSE","CROMPTON","375.95","376","375.5","375.65","43245"
"2025-01-01 14:35:00","NSE","CROMPTON","375.65","376.15","375.3","375.75","44261"
"2025-01-01 14:40:00","NSE","CROMPTON","375.75","376.05","375.05","375.3","81348"
"2025-01-01 14:45:00","NSE","CROMPTON","375.3","375.35","374.7","375.15","63389"
"2025-01-01 14:50:00","NSE","CROMPTON","375.15","375.9","374.95","375.65","46696"
"2025-01-01 14:55:00","NSE","CROMPTON","375.65","376","375.3","376","51506"
"2025-01-01 15:00:00","NSE","CROMPTON","376","376.95","375.9","376.35","94649"
"2025-01-01 15:05:00","NSE","CROMPTON","376.3","376.4","375.55","376","47248"
"2025-01-01 15:10:00","NSE","CROMPTON","376","376.1","375.35","375.6","52468"
"2025-01-01 15:15:00","NSE","CROMPTON","375.5","375.6","374.4","374.7","109082"
"2025-01-01 15:20:00","NSE","CROMPTON","374.7","375.45","374.4","375.25","118041"
"2025-01-01 15:25:00","NSE","CROMPTON","375.2","375.4","374.5","375.4","117095"
"2025-01-02 09:15:00","NSE","CROMPTON","374.75","376.9","372.45","373","87642"
"2025-01-02 09:20:00","NSE","CROMPTON","372.95","373.5","372.25","372.75","73318"
"2025-01-02 09:25:00","NSE","CROMPTON","372.75","374.5","372.55","374.05","41430"
"2025-01-02 09:30:00","NSE","CROMPTON","374.05","376.45","374","375.95","43962"
"2025-01-02 09:35:00","NSE","CROMPTON","375.95","376.45","375","375.95","16685"
"2025-01-02 09:40:00","NSE","CROMPTON","376","376","375.45","375.8","8625"
"2025-01-02 09:45:00","NSE","CROMPTON","375.65","376","375.35","375.55","13329"
"2025-01-02 09:50:00","NSE","CROMPTON","375.7","376","374.9","375.2","22934"
"2025-01-02 09:55:00","NSE","CROMPTON","375.2","375.2","374","374.4","20326"
"2025-01-02 10:00:00","NSE","CROMPTON","374.2","374.4","373.8","374.25","7522"
"2025-01-02 10:05:00","NSE","CROMPTON","374.15","375.15","374","375","11574"
"2025-01-02 10:10:00","NSE","CROMPTON","374.8","375","373.55","374.25","17576"
"2025-01-02 10:15:00","NSE","CROMPTON","374.25","374.8","373.95","374.3","8071"
"2025-01-02 10:20:00","NSE","CROMPTON","374.3","374.45","372.6","372.65","26730"
"2025-01-02 10:25:00","NSE","CROMPTON","372.65","373.3","372.35","372.85","16845"
"2025-01-02 10:30:00","NSE","CROMPTON","372.85","373.5","372.55","373.25","8241"
"2025-01-02 10:35:00","NSE","CROMPTON","373.3","373.95","373.1","373.9","3193"
"2025-01-02 10:40:00","NSE","CROMPTON","373.75","374.15","373.4","373.55","5526"
"2025-01-02 10:45:00","NSE","CROMPTON","373.6","373.6","372.65","372.75","20816"
"2025-01-02 10:50:00","NSE","CROMPTON","372.75","374.9","372.75","374.8","24449"
"2025-01-02 10:55:00","NSE","CROMPTON","374.8","375.3","374.55","375.05","13243"
"2025-01-02 11:00:00","NSE","CROMPTON","374.95","375.2","374.2","374.8","12977"
"2025-01-02 11:05:00","NSE","CROMPTON","374.8","375.25","374.3","374.55","16879"
"2025-01-02 11:10:00","NSE","CROMPTON","374.55","375","374.1","375","8241"
"2025-01-02 11:15:00","NSE","CROMPTON","375.1","375.15","374.6","374.85","3099"
"2025-01-02 11:20:00","NSE","CROMPTON","374.7","374.9","374.4","374.9","9758"
"2025-01-02 11:25:00","NSE","CROMPTON","374.9","375","374.55","374.55","3136"
"2025-01-02 11:30:00","NSE","CROMPTON","374.6","374.6","373.85","374.05","3022"
"2025-01-02 11:35:00","NSE","CROMPTON","373.95","374","371.15","372.2","53430"
"2025-01-02 11:40:00","NSE","CROMPTON","372.2","372.25","371.45","371.8","12761"
"2025-01-02 11:45:00","NSE","CROMPTON","371.9","371.9","371.25","371.4","11755"
"2025-01-02 11:50:00","NSE","CROMPTON","371.5","371.65","370.6","370.9","17265"
"2025-01-02 11:55:00","NSE","CROMPTON","370.95","371.15","370.3","370.3","9838"
"2025-01-02 12:00:00","NSE","CROMPTON","370.55","370.85","370.2","370.2","16240"
"2025-01-02 12:05:00","NSE","CROMPTON","370.2","370.5","370","370.5","25702"
"2025-01-02 12:10:00","NSE","CROMPTON","370.45","371.05","370.4","371.05","8008"
