datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,1769,1773.25,1767.55,1769.8,669,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,1769.8,1769.9,1760,1762.95,1170,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,1761.05,1766.15,1759.3,1765.85,1596,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,1765.05,1769.95,1762.95,1763.6,2249,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,1763.6,1771.55,1763.5,1769.55,520,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,1771.35,1772,1769.4,1772,643,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,1772,1772,1763.35,1763.75,148,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,1762,1763.75,1760,1762.05,593,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,1762.1,1765,1761,1765,1025,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,1763,1763.65,1761.5,1761.8,69,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,1761.7,1764,1761.45,1763,1259,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,1763.15,1768.4,1761.05,1764,474,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,1763.85,1767,1763.85,1766.25,321,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,1766,1766,1764.2,1765.95,74,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,1765.95,1769,1765.85,1768.9,643,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,1768.9,1771.75,1768.9,1769.95,124,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,1769.95,1773.1,1769.25,1772.55,530,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,1772.2,1772.2,1770.55,1771.7,19,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,1770.15,1775.35,1770.15,1773.2,1348,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,1774.95,1775.25,1770.5,1774.35,734,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,1774.75,1775,1773.1,1774.4,221,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,1773.45,1775.35,1773.45,1775.15,204,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,1775,1775.25,1773.75,1773.95,102,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,1773.4,1774.65,1771.7,1774.65,1372,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,1773.1,1778.25,1773.1,1777.1,2785,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:20:00,1776.75,1776.75,1774.55,1774.55,80,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:25:00,1774.4,1774.9,1772.25,1773.5,202,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:30:00,1773.5,1774.5,1770.9,1771.4,53,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:35:00,1772.15,1773.8,1772,1773.8,64,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:40:00,1773.9,1774.05,1772.7,1774,14,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:45:00,1773.1,1777.75,1773.1,1774.65,897,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:50:00,1774.65,1775.95,1772.55,1775.4,1222,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:55:00,1774.85,1775.4,1773.25,1774.95,160,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 12:00:00,1774.95,1776.3,1774.95,1776.3,62,-0.4512,0.0000,-100.00,0.0000,100.00
2025-01-01 12:05:00,1775.05,1775.95,1774,1775.05,295,-0.4734,0.0000,-100.00,0.0000,100.00
2025-01-01 12:10:00,1775.9,1776.8,1774.6,1776.8,454,-0.3787,0.0000,-100.00,0.0000,100.00
2025-01-01 12:15:00,1776.9,1781.25,1776.85,1779.6,1616,-0.1479,0.0000,-100.00,0.0000,100.00
2025-01-01 12:20:00,1781.15,1783,1778.05,1779.05,3127,-0.0573,0.0000,-100.00,0.0000,100.00
2025-01-01 12:25:00,1780.4,1781,1779,1779,164,-0.0273,0.0000,-100.00,0.0000,100.00
2025-01-01 12:30:00,1780.05,1781.55,1778.75,1780.6,641,0.0686,0.0000,100.00,0.0000,100.00
2025-01-01 12:35:00,1779.8,1787.3,1779.55,1786.95,5540,0.5036,0.0000,100.00,0.0000,100.00
2025-01-01 12:40:00,1786.95,1787.6,1785,1785.9,2809,0.6551,0.0000,100.00,0.0000,100.00
2025-01-01 12:45:00,1785.7,1789,1785,1785.45,2984,0.6576,0.0000,100.00,0.0000,100.00
2025-01-01 12:50:00,1785.9,1786.55,1784.7,1785.7,274,0.6099,0.0000,100.00,0.0000,100.00
2025-01-01 12:55:00,1785.8,1785.8,1782.85,1785.15,812,0.4807,0.0000,100.00,0.0000,100.00
2025-01-01 13:00:00,1785.15,1785.45,1784.6,1785.2,245,0.3444,0.0000,100.00,0.0000,100.00
2025-01-01 13:05:00,1785.4,1786.1,1784.25,1784.55,251,0.1654,0.0000,100.00,0.0000,100.00
2025-01-01 13:10:00,1784.4,1785,1783.25,1784.9,301,0.0324,0.0000,100.00,0.0000,100.00
2025-01-01 13:15:00,1783.3,1785.75,1782.85,1784,420,-0.1447,0.0000,-100.00,0.0000,100.00
2025-01-01 13:20:00,1782.85,1783,1781.05,1782.55,276,-0.3748,0.0000,-100.00,0.0000,100.00
2025-01-01 13:25:00,1781.3,1783,1779.7,1783,772,-0.5040,0.0000,-100.00,0.0000,100.00
2025-01-01 13:30:00,1783,1783,1781,1782.5,333,-0.6227,0.0000,-100.00,0.0000,100.00
2025-01-01 13:35:00,1782.15,1782.4,1780.5,1781.35,328,-0.7686,0.0000,-100.00,0.0000,100.00
2025-01-01 13:40:00,1782.4,1785.3,1782.4,1784,217,-0.6797,0.0000,-100.00,0.0000,100.00
2025-01-01 13:45:00,1783.85,1784,1782.35,1784,151,-0.6158,0.0000,-100.00,0.0000,100.00
2025-01-01 13:50:00,1784,1786.55,1783.1,1785.45,535,-0.4770,0.0000,-100.00,0.0000,100.00
2025-01-01 13:55:00,1786.85,1786.85,1785,1786.35,385,-0.3326,0.0000,-100.00,0.0000,100.00
2025-01-01 14:00:00,1786.5,1787.9,1785.8,1786,217,-0.2712,0.0000,-100.00,0.0000,100.00
2025-01-01 14:05:00,1786.4,1786.4,1784.15,1786.35,510,-0.2198,0.0000,-100.00,0.0000,100.00
2025-01-01 14:10:00,1785.8,1786.25,1784.55,1785.45,163,-0.2566,0.0000,-100.00,0.0000,100.00
2025-01-01 14:15:00,1785,1785.8,1784,1785.6,229,-0.2792,0.0000,-100.00,0.0000,100.00
2025-01-01 14:20:00,1783.6,1785.6,1782.85,1783.65,763,-0.4250,0.0000,-100.00,0.0000,100.00
2025-01-01 14:25:00,1784.2,1784.45,1783,1784.35,58,-0.4704,0.0000,-100.00,0.0000,100.00
2025-01-01 14:30:00,1784.3,1784.3,1782.5,1783.4,215,-0.5547,0.0000,-100.00,0.0000,100.00
2025-01-01 14:35:00,1782.55,1783.7,1781.35,1783.7,176,-0.5778,0.0000,-100.00,0.0000,100.00
2025-01-01 14:40:00,1783.2,1784.95,1782.65,1783.65,335,-0.5826,0.0000,-100.00,0.0000,100.00
2025-01-01 14:45:00,1784.35,1785,1782.45,1783.3,381,-0.5932,0.0000,-100.00,0.0000,100.00
2025-01-01 14:50:00,1783.05,1784.25,1782.7,1783.3,228,-0.5834,0.0000,-100.00,0.0000,100.00
2025-01-01 14:55:00,1782.8,1784.7,1782.05,1783,183,-0.5791,0.0000,-100.00,0.0000,100.00
2025-01-01 15:00:00,1783.65,1784.7,1782.5,1783.65,109,-0.5165,0.0000,-100.00,0.0000,100.00
2025-01-01 15:05:00,1783.6,1784,1778.6,1780.4,1185,-0.6683,0.0000,-100.00,0.0000,100.00
2025-01-01 15:10:00,1779.85,1782.75,1779.85,1781.25,853,-0.6835,0.0000,-100.00,0.0000,100.00
2025-01-01 15:15:00,1781.3,1781.7,1777.5,1779.65,3642,-0.7669,0.0000,-100.00,0.0000,100.00
2025-01-01 15:20:00,1779.5,1779.8,1768.9,1772.3,18950,-1.2540,0.0000,-100.00,0.0000,100.00
2025-01-01 15:25:00,1772.25,1774.45,1762.3,1765.5,27232,-1.9306,0.0000,-100.00,0.0000,100.00
2025-01-02 09:15:00,1763.8,1774.25,1763.8,1763.95,1993,-2.3511,-1.9306,21.78,1765.5000,-0.09
2025-01-02 09:20:00,1763.95,1773.4,1763.2,1772.8,2164,-1.9199,-1.9306,-0.55,1765.5000,0.41
2025-01-02 09:25:00,1772.05,1773.85,1770.1,1770.1,4185,-1.7103,-1.9306,-11.41,1765.5000,0.26
2025-01-02 09:30:00,1770.25,1775.35,1769.8,1773.45,1155,-1.2605,-1.9306,-34.71,1765.5000,0.45
2025-01-02 09:35:00,1771.7,1779,1771.7,1778.15,2413,-0.5947,-1.9306,-69.20,1765.5000,0.72
2025-01-02 09:40:00,1778.45,1779,1774.6,1777.3,875,-0.1813,-1.9306,-90.61,1765.5000,0.67
2025-01-02 09:45:00,1776.7,1779.65,1775.05,1776.5,480,0.0559,-1.9306,-102.90,1765.5000,0.62
2025-01-02 09:50:00,1775.55,1776.45,1771.55,1772.4,1774,-0.0406,-1.9306,-97.90,1765.5000,0.39
2025-01-02 09:55:00,1775.5,1775.5,1772.3,1774,80,0.0228,-1.9306,-101.18,1765.5000,0.48
2025-01-02 10:00:00,1773.85,1773.85,1771,1771.9,362,-0.0532,-1.9306,-97.24,1765.5000,0.36
2025-01-02 10:05:00,1771,1773.05,1770.85,1772.8,1484,-0.0210,-1.9306,-98.91,1765.5000,0.41
2025-01-02 10:10:00,1772.8,1775.65,1772,1772,513,-0.0311,-1.9306,-98.39,1765.5000,0.37
2025-01-02 10:15:00,1772.35,1773.4,1770,1771.5,7139,-0.0479,-1.9306,-97.52,1765.5000,0.34
2025-01-02 10:20:00,1770.85,1775.45,1770.55,1771.1,7142,-0.0616,-1.9306,-96.81,1765.5000,0.32
2025-01-02 10:25:00,1772.15,1772.45,1768.6,1769,332,-0.1810,-1.9306,-90.62,1765.5000,0.20
2025-01-02 10:30:00,1769,1769.9,1767.9,1768.85,914,-0.2355,-1.9306,-87.80,1765.5000,0.19
2025-01-02 10:35:00,1769.85,1769.9,1767.1,1769.75,452,-0.1789,-1.9306,-90.73,1765.5000,0.24
2025-01-02 10:40:00,1769.9,1780.3,1769.9,1779.35,719,0.4999,-1.9306,-125.89,1765.5000,0.78
2025-01-02 10:45:00,1780.3,1784,1779,1782.95,514,1.1492,-1.9306,-159.53,1765.5000,0.99
2025-01-02 10:50:00,1781.75,1792.45,1781.25,1789.95,26756,1.9602,-1.9306,-201.53,1765.5000,1.38
2025-01-02 10:55:00,1789.95,1797,1788.25,1793.45,24472,2.6022,-1.9306,-234.79,1765.5000,1.58
2025-01-02 11:00:00,1794.4,1797.25,1793.45,1794.65,3367,2.9520,-1.9306,-252.91,1765.5000,1.65
2025-01-02 11:05:00,1795.8,1799.9,1794.6,1795.1,5955,3.0457,-1.9306,-257.76,1765.5000,1.68
2025-01-02 11:10:00,1795.75,1798.95,1793.55,1796.35,4847,3.0181,-1.9306,-256.33,1765.5000,1.75
2025-01-02 11:15:00,1796.35,1798,1794.55,1796.15,2481,2.8164,-1.9306,-245.88,1765.5000,1.74
2025-01-02 11:20:00,1796.15,1798,1793.25,1797.15,3149,2.5865,-1.9306,-233.97,1765.5000,1.79
2025-01-02 11:25:00,1798,1799.5,1795.9,1798.8,2255,2.3864,-1.9306,-223.61,1765.5000,1.89
2025-01-02 11:30:00,1799.45,1799.85,1794.85,1799.45,5278,2.1462,-1.9306,-211.17,1765.5000,1.92
2025-01-02 11:35:00,1799.5,1799.95,1798.1,1799.95,1088,1.8791,-1.9306,-197.33,1765.5000,1.95
