datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,1609.5,1618.4,1607,1614.15,10668,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,1613.85,1614.65,1608.15,1610.7,10310,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,1611.5,1613.55,1607.65,1609,5947,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,1609.5,1610.6,1603.5,1604.2,3426,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,1604.8,1606.8,1604.8,1606.55,2119,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,1606.95,1609.95,1605.55,1607,3807,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,1606.05,1607.8,1603,1604.25,3417,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,1604.25,1605.8,1601.7,1603,5492,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,1603,1604.8,1603,1603,2600,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,1603.05,1605,1601.35,1603.2,3738,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,1603.9,1605,1602.6,1603.65,2782,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,1603.25,1608.05,1603.15,1605.6,3904,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,1605.9,1606,1602.45,1603.3,987,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,1603.3,1605.4,1602.5,1604.9,1533,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,1604.9,1606.45,1602.45,1606.45,2698,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,1606.05,1610.6,1605.55,1608.8,2358,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,1610,1610,1608.4,1610,694,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,1610,1610,1606.5,1608,1698,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,1608.05,1612,1607.5,1612,3617,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,1612,1613,1608.1,1609.9,5880,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,1609.9,1611,1607.6,1607.6,758,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,1609,1609.95,1607.85,1609.2,503,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,1608.4,1611,1608.4,1609.55,863,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,1609.65,1611.15,1609.5,1610.7,1896,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,1610.85,1612.6,1610.05,1611,998,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:20:00,1611,1611.65,1609.55,1611.4,1059,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:25:00,1611.45,1611.45,1607.2,1608.55,1145,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:30:00,1607.8,1609.5,1607.15,1607.15,347,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:35:00,1607,1608.45,1606.2,1608.35,1230,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:40:00,1608.35,1617,1608.35,1616.05,11253,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:45:00,1616,1617,1613.8,1615.1,2672,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:50:00,1615,1615.2,1613,1614.3,870,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:55:00,1614.05,1615.4,1612,1615.4,698,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 12:00:00,1614.5,1615.3,1613.95,1615.25,367,0.5365,0.0000,100.00,0.0000,100.00
2025-01-01 12:05:00,1615.25,1615.4,1614.15,1614.85,176,0.4413,0.0000,100.00,0.0000,100.00
2025-01-01 12:10:00,1614.15,1614.15,1611.55,1613.2,757,0.2354,0.0000,100.00,0.0000,100.00
2025-01-01 12:15:00,1613.65,1614.6,1612.5,1614,462,0.1267,0.0000,100.00,0.0000,100.00
2025-01-01 12:20:00,1614.7,1614.8,1612.65,1612.65,951,-0.0528,0.0000,-100.00,0.0000,100.00
2025-01-01 12:25:00,1612.55,1614.65,1612.25,1614.25,265,-0.0789,0.0000,-100.00,0.0000,100.00
2025-01-01 12:30:00,1614.5,1615.05,1613,1613,2230,-0.1893,0.0000,-100.00,0.0000,100.00
2025-01-01 12:35:00,1613.25,1613.6,1610.95,1611.4,1309,-0.3685,0.0000,-100.00,0.0000,100.00
2025-01-01 12:40:00,1611.4,1611.6,1609.05,1609.05,664,-0.6285,0.0000,-100.00,0.0000,100.00
2025-01-01 12:45:00,1610.45,1610.95,1609.1,1610.75,302,-0.6657,0.0000,-100.00,0.0000,100.00
2025-01-01 12:50:00,1610.85,1611.75,1610.05,1610.65,1024,-0.6745,0.0000,-100.00,0.0000,100.00
2025-01-01 12:55:00,1611.45,1611.6,1610.25,1611.45,391,-0.6062,0.0000,-100.00,0.0000,100.00
2025-01-01 13:00:00,1612.6,1617.05,1612.1,1616.6,2768,-0.2142,0.0000,-100.00,0.0000,100.00
2025-01-01 13:05:00,1616.6,1618,1615.2,1616,3253,-0.0062,0.0000,-100.00,0.0000,100.00
2025-01-01 13:10:00,1616.35,1616.35,1612.5,1615.3,415,0.0692,0.0000,100.00,0.0000,100.00
2025-01-01 13:15:00,1614.55,1615.8,1613.85,1615.25,536,0.0988,0.0000,100.00,0.0000,100.00
2025-01-01 13:20:00,1615,1616,1615,1615.95,284,0.1457,0.0000,100.00,0.0000,100.00
2025-01-01 13:25:00,1616,1616,1613.9,1615,219,0.0955,0.0000,100.00,0.0000,100.00
2025-01-01 13:30:00,1615.35,1615.8,1613.35,1614.6,1630,0.0219,0.0000,100.00,0.0000,100.00
2025-01-01 13:35:00,1614.6,1615.1,1613.2,1614.6,1142,-0.0370,0.0000,-100.00,0.0000,100.00
2025-01-01 13:40:00,1615.1,1615.5,1611.05,1614.25,1647,-0.1059,0.0000,-100.00,0.0000,100.00
2025-01-01 13:45:00,1615,1615.6,1614.25,1615.45,396,-0.0783,0.0000,-100.00,0.0000,100.00
2025-01-01 13:50:00,1614.3,1615.85,1614.3,1615.15,1313,-0.0872,0.0000,-100.00,0.0000,100.00
2025-01-01 13:55:00,1615.35,1615.45,1614,1615.45,398,-0.0800,0.0000,-100.00,0.0000,100.00
2025-01-01 14:00:00,1615.5,1618,1615,1615.55,1202,-0.0757,0.0000,-100.00,0.0000,100.00
2025-01-01 14:05:00,1614.85,1616.45,1614.55,1616.15,637,-0.0413,0.0000,-100.00,0.0000,100.00
2025-01-01 14:10:00,1615.4,1616.25,1613.1,1613.65,2283,-0.1876,0.0000,-100.00,0.0000,100.00
2025-01-01 14:15:00,1614.25,1614.75,1612.8,1613,750,-0.3211,0.0000,-100.00,0.0000,100.00
2025-01-01 14:20:00,1613.1,1614.35,1612.9,1613.2,840,-0.3845,0.0000,-100.00,0.0000,100.00
2025-01-01 14:25:00,1614,1614,1612.35,1613.2,463,-0.4125,0.0000,-100.00,0.0000,100.00
2025-01-01 14:30:00,1613.2,1615.9,1613,1614.1,1721,-0.3586,0.0000,-100.00,0.0000,100.00
2025-01-01 14:35:00,1614,1615.7,1614,1614.6,487,-0.2807,0.0000,-100.00,0.0000,100.00
