datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","GRASIM","2440.3","2449.1","2432.6","2446.3","2859"
"2025-01-01 09:20:00","NSE","GRASIM","2446.05","2447.45","2434","2434.95","2200"
"2025-01-01 09:25:00","NSE","GRASIM","2434.95","2438.8","2433","2438.75","1745"
"2025-01-01 09:30:00","NSE","GRASIM","2437.45","2438.7","2433.1","2434.4","2345"
"2025-01-01 09:35:00","NSE","GRASIM","2435.15","2439.25","2434","2439.25","932"
"2025-01-01 09:40:00","NSE","GRASIM","2439","2439.85","2437.5","2439.3","738"
"2025-01-01 09:45:00","NSE","GRASIM","2437.05","2438","2430.65","2431.95","1102"
"2025-01-01 09:50:00","NSE","GRASIM","2431","2431.1","2427.1","2430","1846"
"2025-01-01 09:55:00","NSE","GRASIM","2428.5","2432.95","2426.75","2430.55","1251"
"2025-01-01 10:00:00","NSE","GRASIM","2431.45","2433.3","2426.55","2426.55","681"
"2025-01-01 10:05:00","NSE","GRASIM","2426.55","2431.8","2425.95","2431.2","564"
"2025-01-01 10:10:00","NSE","GRASIM","2430.4","2439.8","2430.4","2435.05","1763"
"2025-01-01 10:15:00","NSE","GRASIM","2435.05","2437.3","2434","2437.3","298"
"2025-01-01 10:20:00","NSE","GRASIM","2436.8","2439.55","2432.05","2434.25","1429"
"2025-01-01 10:25:00","NSE","GRASIM","2434","2438.9","2433.4","2437.35","746"
"2025-01-01 10:30:00","NSE","GRASIM","2436.1","2437.85","2433.35","2434.95","854"
"2025-01-01 10:35:00","NSE","GRASIM","2434.85","2435.9","2432.45","2434.15","6058"
"2025-01-01 10:40:00","NSE","GRASIM","2434.45","2435.25","2432.6","2434.85","1685"
"2025-01-01 10:45:00","NSE","GRASIM","2435","2440.85","2434.4","2437.9","17382"
"2025-01-01 10:50:00","NSE","GRASIM","2437.55","2446.6","2437.55","2445.2","15268"
"2025-01-01 10:55:00","NSE","GRASIM","2445.1","2457.45","2445.1","2449.05","27521"
"2025-01-01 11:00:00","NSE","GRASIM","2449.5","2451.65","2448","2450.4","20422"
"2025-01-01 11:05:00","NSE","GRASIM","2450.6","2450.6","2447.2","2447.2","8311"
"2025-01-01 11:10:00","NSE","GRASIM","2448.5","2450.7","2446.1","2448.8","1084"
"2025-01-01 11:15:00","NSE","GRASIM","2450.05","2452.45","2448.05","2451.15","5349"
"2025-01-01 11:20:00","NSE","GRASIM","2451.85","2451.85","2446.25","2448.15","1483"
"2025-01-01 11:25:00","NSE","GRASIM","2447.65","2448.8","2443.4","2444.85","2113"
"2025-01-01 11:30:00","NSE","GRASIM","2444.85","2444.85","2441.35","2441.8","1892"
"2025-01-01 11:35:00","NSE","GRASIM","2441.8","2442","2437.5","2440.55","1590"
"2025-01-01 11:40:00","NSE","GRASIM","2440.65","2441.5","2440","2441","936"
"2025-01-01 11:45:00","NSE","GRASIM","2441","2441.2","2435","2435.3","3515"
"2025-01-01 11:50:00","NSE","GRASIM","2436.8","2439","2435","2438.6","738"
"2025-01-01 11:55:00","NSE","GRASIM","2438.35","2440.4","2436.75","2440","801"
"2025-01-01 12:00:00","NSE","GRASIM","2439.65","2441.1","2437.95","2441.1","6921"
"2025-01-01 12:05:00","NSE","GRASIM","2441","2441.2","2437.9","2440.1","4084"
"2025-01-01 12:10:00","NSE","GRASIM","2440.1","2441.8","2439.05","2440.9","6343"
"2025-01-01 12:15:00","NSE","GRASIM","2440.9","2450.9","2440.9","2450.9","12370"
"2025-01-01 12:20:00","NSE","GRASIM","2450.9","2454.5","2447.2","2447.65","28550"
"2025-01-01 12:25:00","NSE","GRASIM","2447.8","2454","2446.8","2454","5643"
"2025-01-01 12:30:00","NSE","GRASIM","2454","2464.3","2454","2463.65","5011"
"2025-01-01 12:35:00","NSE","GRASIM","2463.6","2471.9","2461.65","2471.2","7119"
"2025-01-01 12:40:00","NSE","GRASIM","2471.2","2471.2","2461.2","2464.95","7978"
"2025-01-01 12:45:00","NSE","GRASIM","2465","2466.15","2457.5","2457.5","8288"
"2025-01-01 12:50:00","NSE","GRASIM","2457.55","2461.25","2457.05","2461.1","4765"
"2025-01-01 12:55:00","NSE","GRASIM","2461.05","2461.45","2457.3","2460.05","18879"
"2025-01-01 13:00:00","NSE","GRASIM","2461.1","2467.45","2460","2462.1","6407"
"2025-01-01 13:05:00","NSE","GRASIM","2462.1","2462.25","2460.6","2462.05","4354"
"2025-01-01 13:10:00","NSE","GRASIM","2462.05","2462.9","2460.1","2462.9","2058"
