datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,443.7,445.5,440.95,444.4,32295,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,444.15,445.4,442.6,444.55,11573,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,444.55,445.5,444.1,445.2,13576,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,445.15,445.75,444.4,445.2,10109,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,444.9,446.1,444.5,445.75,9197,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,445.8,446.25,444.75,444.95,9945,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,444.95,445,442.95,443.4,13107,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,443.65,444.8,443.35,444.35,3254,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,444.45,445.8,444.15,445.3,8983,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,445.4,445.45,443.7,443.7,6386,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,443.9,445,443.65,445,5683,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,445,445.8,444.35,445,3863,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,445,445.25,444.1,444.6,4059,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,444.6,444.8,444.1,444.5,2327,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,444.5,445.3,443.65,444.4,9236,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,444.4,444.55,442.1,442.95,10052,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,442.95,444.75,442.95,444.65,5087,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,444.65,445.5,444.55,445.5,4858,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,445.5,445.8,445.05,445.7,5275,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,445.7,446.6,445.45,446.3,14714,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,446.35,447.75,446.25,446.7,18048,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,447,447.8,446.5,447.3,6489,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,447.45,447.8,447,447.55,8596,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,447.8,447.9,447.05,447.45,3261,0.0000,0.0000,0.00,0.0000,100.00
