datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","IDFCFIRSTB","63.25","63.63","62.96","63.09","318359"
"2025-01-01 09:20:00","NSE","IDFCFIRSTB","63.09","63.1","62.82","63.06","354460"
"2025-01-01 09:25:00","NSE","IDFCFIRSTB","63.06","63.15","63.01","63.11","129537"
"2025-01-01 09:30:00","NSE","IDFCFIRSTB","63.11","63.25","62.89","62.99","250524"
"2025-01-01 09:35:00","NSE","IDFCFIRSTB","62.99","63.11","62.89","63.06","246214"
"2025-01-01 09:40:00","NSE","IDFCFIRSTB","63.06","63.08","62.94","63.02","211341"
"2025-01-01 09:45:00","NSE","IDFCFIRSTB","63.02","63.02","62.79","62.88","353027"
"2025-01-01 09:50:00","NSE","IDFCFIRSTB","62.88","62.88","62.76","62.87","122918"
"2025-01-01 09:55:00","NSE","IDFCFIRSTB","62.85","62.99","62.8","62.99","145550"
"2025-01-01 10:00:00","NSE","IDFCFIRSTB","62.99","63","62.87","62.91","57656"
"2025-01-01 10:05:00","NSE","IDFCFIRSTB","62.91","62.99","62.9","62.98","46945"
"2025-01-01 10:10:00","NSE","IDFCFIRSTB","62.98","63.23","62.96","63.08","200784"
"2025-01-01 10:15:00","NSE","IDFCFIRSTB","63.08","63.16","63.02","63.13","106045"
"2025-01-01 10:20:00","NSE","IDFCFIRSTB","63.13","63.23","63.12","63.22","136823"
"2025-01-01 10:25:00","NSE","IDFCFIRSTB","63.21","63.34","63.2","63.34","259958"
"2025-01-01 10:30:00","NSE","IDFCFIRSTB","63.34","63.35","63.11","63.21","362464"
"2025-01-01 10:35:00","NSE","IDFCFIRSTB","63.21","63.22","62.99","63.12","2972520"
"2025-01-01 10:40:00","NSE","IDFCFIRSTB","63.12","63.48","63.12","63.44","426305"
"2025-01-01 10:45:00","NSE","IDFCFIRSTB","63.44","64.25","63.41","64.13","1369249"
"2025-01-01 10:50:00","NSE","IDFCFIRSTB","64.11","64.33","64.08","64.15","870235"
"2025-01-01 10:55:00","NSE","IDFCFIRSTB","64.19","64.36","64.15","64.18","342301"
"2025-01-01 11:00:00","NSE","IDFCFIRSTB","64.18","64.36","64.14","64.2","412029"
"2025-01-01 11:05:00","NSE","IDFCFIRSTB","64.18","64.44","64.16","64.4","762460"
"2025-01-01 11:10:00","NSE","IDFCFIRSTB","64.4","64.55","64.25","64.46","699477"
"2025-01-01 11:15:00","NSE","IDFCFIRSTB","64.46","64.56","64.36","64.44","376976"
"2025-01-01 11:20:00","NSE","IDFCFIRSTB","64.44","64.5","64.31","64.36","142173"
"2025-01-01 11:25:00","NSE","IDFCFIRSTB","64.32","64.37","64.18","64.25","380257"
"2025-01-01 11:30:00","NSE","IDFCFIRSTB","64.25","64.26","64","64.04","441847"
"2025-01-01 11:35:00","NSE","IDFCFIRSTB","64.04","64.14","64","64.09","138473"
"2025-01-01 11:40:00","NSE","IDFCFIRSTB","64.09","64.22","64.07","64.18","95779"
"2025-01-01 11:45:00","NSE","IDFCFIRSTB","64.19","64.2","64.11","64.14","106374"
"2025-01-01 11:50:00","NSE","IDFCFIRSTB","64.14","64.17","64.02","64.02","137437"
"2025-01-01 11:55:00","NSE","IDFCFIRSTB","64.02","64.12","64","64.08","109776"
"2025-01-01 12:00:00","NSE","IDFCFIRSTB","64.1","64.12","64","64","60047"
