datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","INDIGO","4584.8","4598.95","4567.15","4583.65","27859"
"2025-01-01 09:20:00","NSE","INDIGO","4582","4585","4572.05","4580","9724"
"2025-01-01 09:25:00","NSE","INDIGO","4580","4583.95","4565.5","4573.35","10291"
"2025-01-01 09:30:00","NSE","INDIGO","4574.5","4575.15","4561.55","4566.95","9682"
"2025-01-01 09:35:00","NSE","INDIGO","4567","4569.55","4560.2","4563.6","4713"
"2025-01-01 09:40:00","NSE","INDIGO","4563.6","4569","4556.4","4566.4","4613"
"2025-01-01 09:45:00","NSE","INDIGO","4567.85","4568","4560.1","4563.5","3128"
"2025-01-01 09:50:00","NSE","INDIGO","4563.5","4567.15","4558","4562.65","3552"
"2025-01-01 09:55:00","NSE","INDIGO","4561.35","4563.05","4553.5","4561.8","4179"
"2025-01-01 10:00:00","NSE","INDIGO","4560.05","4562.35","4552","4554","2819"
"2025-01-01 10:05:00","NSE","INDIGO","4555","4559.9","4552.2","4559.85","2023"
"2025-01-01 10:10:00","NSE","INDIGO","4559.55","4569.9","4557.85","4565.75","3363"
"2025-01-01 10:15:00","NSE","INDIGO","4565.6","4569.95","4564.15","4568.65","2923"
"2025-01-01 10:20:00","NSE","INDIGO","4569","4570","4565.6","4569.95","2051"
"2025-01-01 10:25:00","NSE","INDIGO","4570","4570","4565.05","4569.65","1915"
"2025-01-01 10:30:00","NSE","INDIGO","4569.4","4582.8","4566.55","4580.55","5647"
"2025-01-01 10:35:00","NSE","INDIGO","4580.9","4593.9","4577.35","4592.5","7690"
"2025-01-01 10:40:00","NSE","INDIGO","4592.95","4619.95","4589.75","4617.6","14214"
"2025-01-01 10:45:00","NSE","INDIGO","4617.6","4622","4607.65","4618.05","8918"
"2025-01-01 10:50:00","NSE","INDIGO","4618","4619.15","4606.9","4609","5198"
"2025-01-01 10:55:00","NSE","INDIGO","4608.95","4616.65","4608.55","4609","1947"
"2025-01-01 11:00:00","NSE","INDIGO","4609.1","4613.7","4597.35","4600.8","5433"
"2025-01-01 11:05:00","NSE","INDIGO","4602.3","4602.95","4596.75","4601.2","1363"
"2025-01-01 11:10:00","NSE","INDIGO","4599.55","4604.95","4599.55","4602.6","1134"
"2025-01-01 11:15:00","NSE","INDIGO","4603.05","4610","4603","4608.9","3583"
"2025-01-01 11:20:00","NSE","INDIGO","4608.85","4611.45","4606.35","4609.9","3702"
"2025-01-01 11:25:00","NSE","INDIGO","4609.9","4609.9","4603.15","4604.85","2447"
"2025-01-01 11:30:00","NSE","INDIGO","4604.35","4605.4","4598.75","4598.75","2588"
"2025-01-01 11:35:00","NSE","INDIGO","4598.7","4609.8","4597","4608.25","2107"
"2025-01-01 11:40:00","NSE","INDIGO","4609","4614.55","4607.8","4614.55","4663"
"2025-01-01 11:45:00","NSE","INDIGO","4614.55","4617","4612.4","4613.35","3376"
"2025-01-01 11:50:00","NSE","INDIGO","4615.3","4615.95","4611.3","4612.8","1336"
"2025-01-01 11:55:00","NSE","INDIGO","4614.45","4614.5","4606","4608.85","1218"
"2025-01-01 12:00:00","NSE","INDIGO","4608.8","4617","4603.6","4613.25","8226"
"2025-01-01 12:05:00","NSE","INDIGO","4614.45","4616.5","4611.15","4614","1562"
"2025-01-01 12:10:00","NSE","INDIGO","4613.85","4633.9","4611.9","4633.9","13606"
"2025-01-01 12:15:00","NSE","INDIGO","4633","4635","4623.55","4625.55","8635"
"2025-01-01 12:20:00","NSE","INDIGO","4627.3","4628","4621","4624.2","3013"
"2025-01-01 12:25:00","NSE","INDIGO","4623.5","4625.7","4616.45","4616.45","2915"
"2025-01-01 12:30:00","NSE","INDIGO","4616.5","4618.25","4606","4606","12279"
"2025-01-01 12:35:00","NSE","INDIGO","4606.35","4606.65","4594.35","4596.05","7980"
"2025-01-01 12:40:00","NSE","INDIGO","4597.25","4604.3","4591","4604.3","4482"
"2025-01-01 12:45:00","NSE","INDIGO","4604.3","4609","4601.8","4605","4213"
"2025-01-01 12:50:00","NSE","INDIGO","4604.4","4607.45","4598.1","4598.8","4039"
"2025-01-01 12:55:00","NSE","INDIGO","4598.15","4600","4588","4591.7","10709"
"2025-01-01 13:00:00","NSE","INDIGO","4591.65","4600.15","4591.1","4598.95","2847"
"2025-01-01 13:05:00","NSE","INDIGO","4598.2","4599","4596","4596.8","2228"
"2025-01-01 13:10:00","NSE","INDIGO","4596.75","4602.2","4596.35","4599.7","2496"
"2025-01-01 13:15:00","NSE","INDIGO","4598.65","4603.9","4598.4","4599","3068"
"2025-01-01 13:20:00","NSE","INDIGO","4598.8","4603.6","4598.8","4600","2564"
"2025-01-01 13:25:00","NSE","INDIGO","4599.55","4599.95","4595","4596.55","4055"
"2025-01-01 13:30:00","NSE","INDIGO","4596.55","4599.95","4595.95","4598.25","2190"
"2025-01-01 13:35:00","NSE","INDIGO","4598.55","4603.35","4595.8","4600.55","2175"
"2025-01-01 13:40:00","NSE","INDIGO","4600.5","4604.75","4598.55","4604.75","2361"
"2025-01-01 13:45:00","NSE","INDIGO","4604.55","4607.4","4602.95","4607.35","2910"
"2025-01-01 13:50:00","NSE","INDIGO","4605.75","4621.95","4604.4","4620","8682"
"2025-01-01 13:55:00","NSE","INDIGO","4619.25","4625","4616.1","4622.35","9722"
"2025-01-01 14:00:00","NSE","INDIGO","4623.95","4631.9","4623.45","4625.3","5954"
"2025-01-01 14:05:00","NSE","INDIGO","4624.75","4630.8","4620.1","4621.35","3990"
"2025-01-01 14:10:00","NSE","INDIGO","4620.75","4621.35","4615.2","4619.4","6084"
"2025-01-01 14:15:00","NSE","INDIGO","4619.75","4623.75","4619.05","4619.05","3774"
"2025-01-01 14:20:00","NSE","INDIGO","4620.4","4622.75","4618","4619.85","3291"
"2025-01-01 14:25:00","NSE","INDIGO","4619.65","4622.65","4611.15","4611.95","5879"
"2025-01-01 14:30:00","NSE","INDIGO","4611.95","4613.7","4608","4608","6196"
"2025-01-01 14:35:00","NSE","INDIGO","4608.35","4613.5","4608.3","4611.5","3219"
"2025-01-01 14:40:00","NSE","INDIGO","4611.3","4615.5","4608.7","4610.05","10629"
"2025-01-01 14:45:00","NSE","INDIGO","4609.6","4611.95","4605.45","4605.45","13170"
"2025-01-01 14:50:00","NSE","INDIGO","4605.45","4609.5","4605.1","4605.35","4093"
"2025-01-01 14:55:00","NSE","INDIGO","4605.3","4607","4602.85","4606.1","5296"
"2025-01-01 15:00:00","NSE","INDIGO","4606.1","4608.5","4603","4606.1","8437"
"2025-01-01 15:05:00","NSE","INDIGO","4606.1","4606.8","4596.5","4598.9","6340"
"2025-01-01 15:10:00","NSE","INDIGO","4599","4599.1","4596.35","4596.8","11916"
"2025-01-01 15:15:00","NSE","INDIGO","4597.55","4597.8","4590","4592","10466"
"2025-01-01 15:20:00","NSE","INDIGO","4592","4592.1","4586","4588.35","11885"
"2025-01-01 15:25:00","NSE","INDIGO","4588.75","4591.5","4585","4589.25","6987"
"2025-01-02 09:15:00","NSE","INDIGO","4605.05","4630","4580.65","4585.15","7944"
"2025-01-02 09:20:00","NSE","INDIGO","4584.95","4587.35","4575.4","4577","4581"
"2025-01-02 09:25:00","NSE","INDIGO","4576","4582","4566","4570.95","6558"
"2025-01-02 09:30:00","NSE","INDIGO","4570.05","4574.15","4565","4566.35","7308"
"2025-01-02 09:35:00","NSE","INDIGO","4566","4570.45","4560.5","4560.5","10803"
"2025-01-02 09:40:00","NSE","INDIGO","4560.5","4570.8","4560","4567.05","17991"
"2025-01-02 09:45:00","NSE","INDIGO","4566.25","4569.45","4555","4560","12329"
"2025-01-02 09:50:00","NSE","INDIGO","4560","4565","4552","4556.55","14471"
"2025-01-02 09:55:00","NSE","INDIGO","4556.25","4561.55","4546.1","4548.75","12086"
