datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","INDUSTOWER","340","341.8","339.4","341.8","68879"
"2025-01-01 09:20:00","NSE","INDUSTOWER","341.6","341.8","340.65","341.1","28154"
"2025-01-01 09:25:00","NSE","INDUSTOWER","341.05","342.35","340.75","342.25","37166"
"2025-01-01 09:30:00","NSE","INDUSTOWER","342.25","342.3","340","340.2","52024"
"2025-01-01 09:35:00","NSE","INDUSTOWER","340.25","340.7","339.85","340.45","25356"
"2025-01-01 09:40:00","NSE","INDUSTOWER","340.45","340.7","339.6","340.25","18575"
"2025-01-01 09:45:00","NSE","INDUSTOWER","340.05","340.2","339.15","339.2","29665"
"2025-01-01 09:50:00","NSE","INDUSTOWER","339.25","339.25","338.55","338.85","23925"
"2025-01-01 09:55:00","NSE","INDUSTOWER","338.7","339.7","338.5","339.45","10883"
"2025-01-01 10:00:00","NSE","INDUSTOWER","339.3","340","338.7","338.95","30510"
"2025-01-01 10:05:00","NSE","INDUSTOWER","338.95","339.35","338.55","338.6","18965"
"2025-01-01 10:10:00","NSE","INDUSTOWER","338.6","339.8","338.6","339","19758"
"2025-01-01 10:15:00","NSE","INDUSTOWER","339","339.45","338.55","338.95","26615"
"2025-01-01 10:20:00","NSE","INDUSTOWER","338.85","339.3","338.75","339.1","9578"
"2025-01-01 10:25:00","NSE","INDUSTOWER","339.1","340.25","339.1","340.05","25718"
"2025-01-01 10:30:00","NSE","INDUSTOWER","340","341.25","339.95","341","35991"
"2025-01-01 10:35:00","NSE","INDUSTOWER","340.95","341.75","340.8","341.4","21786"
"2025-01-01 10:40:00","NSE","INDUSTOWER","341.4","341.65","341","341.25","21453"
"2025-01-01 10:45:00","NSE","INDUSTOWER","341.2","342.6","341.2","342.4","41159"
"2025-01-01 10:50:00","NSE","INDUSTOWER","342.35","342.8","342.2","342.3","36205"
"2025-01-01 10:55:00","NSE","INDUSTOWER","342.25","342.75","342","342.4","39527"
"2025-01-01 11:00:00","NSE","INDUSTOWER","342.5","342.9","342.1","342.3","21472"
"2025-01-01 11:05:00","NSE","INDUSTOWER","342.35","342.9","342.15","342.7","10535"
"2025-01-01 11:10:00","NSE","INDUSTOWER","342.6","342.75","342.15","342.5","8752"
"2025-01-01 11:15:00","NSE","INDUSTOWER","342.5","343.2","342.45","343","29695"
"2025-01-01 11:20:00","NSE","INDUSTOWER","342.9","343.25","341.85","341.9","42761"
"2025-01-01 11:25:00","NSE","INDUSTOWER","341.9","342","340.8","341.6","17172"
"2025-01-01 11:30:00","NSE","INDUSTOWER","341.45","341.65","340.45","340.45","18183"
"2025-01-01 11:35:00","NSE","INDUSTOWER","340.45","340.9","340.3","340.55","13661"
"2025-01-01 11:40:00","NSE","INDUSTOWER","340.4","341.25","340.4","341.15","14318"
"2025-01-01 11:45:00","NSE","INDUSTOWER","341.15","341.35","340.75","341","11145"
"2025-01-01 11:50:00","NSE","INDUSTOWER","340.9","341","340.6","340.9","9118"
"2025-01-01 11:55:00","NSE","INDUSTOWER","340.8","341.35","340.3","341.3","9155"
"2025-01-01 12:00:00","NSE","INDUSTOWER","341.15","341.75","341","341.65","5906"
"2025-01-01 12:05:00","NSE","INDUSTOWER","341.55","342.25","341.55","342","18966"
"2025-01-01 12:10:00","NSE","INDUSTOWER","341.9","342.7","341.7","342.1","23892"
"2025-01-01 12:15:00","NSE","INDUSTOWER","342.1","342.5","341.7","341.95","14389"
"2025-01-01 12:20:00","NSE","INDUSTOWER","341.85","342.1","341.7","341.9","6183"
"2025-01-01 12:25:00","NSE","INDUSTOWER","341.7","342.45","341.3","342.4","64141"
"2025-01-01 12:30:00","NSE","INDUSTOWER","342.4","342.8","342.3","342.75","10443"
"2025-01-01 12:35:00","NSE","INDUSTOWER","342.7","342.85","342.1","342.2","21621"
"2025-01-01 12:40:00","NSE","INDUSTOWER","342.2","342.65","342.05","342.45","15827"
"2025-01-01 12:45:00","NSE","INDUSTOWER","342.45","343.15","342.3","343.1","31028"
"2025-01-01 12:50:00","NSE","INDUSTOWER","343.1","343.7","342.95","343.5","43434"
"2025-01-01 12:55:00","NSE","INDUSTOWER","343.5","343.55","343.05","343.25","13968"
"2025-01-01 13:00:00","NSE","INDUSTOWER","343.25","344.3","343.15","344.15","35733"
"2025-01-01 13:05:00","NSE","INDUSTOWER","344.15","344.15","343.7","343.9","33636"
"2025-01-01 13:10:00","NSE","INDUSTOWER","343.9","344.15","343.15","343.9","47070"
"2025-01-01 13:15:00","NSE","INDUSTOWER","344.05","344.6","343.6","343.8","47032"
"2025-01-01 13:20:00","NSE","INDUSTOWER","343.7","344.1","343.1","343.25","30641"
"2025-01-01 13:25:00","NSE","INDUSTOWER","343.25","343.45","342.35","342.8","38744"
"2025-01-01 13:30:00","NSE","INDUSTOWER","342.7","342.95","342.5","342.7","17891"
"2025-01-01 13:35:00","NSE","INDUSTOWER","342.7","342.9","342.5","342.65","17756"
"2025-01-01 13:40:00","NSE","INDUSTOWER","342.65","343","342.5","342.5","15569"
"2025-01-01 13:45:00","NSE","INDUSTOWER","342.5","342.75","342.25","342.35","17087"
"2025-01-01 13:50:00","NSE","INDUSTOWER","342.35","343.85","342.35","343.5","40214"
"2025-01-01 13:55:00","NSE","INDUSTOWER","343.35","343.55","343.05","343.5","13753"
"2025-01-01 14:00:00","NSE","INDUSTOWER","343.4","343.85","343.1","343.1","28033"
"2025-01-01 14:05:00","NSE","INDUSTOWER","343.15","343.7","343.15","343.7","18158"
"2025-01-01 14:10:00","NSE","INDUSTOWER","343.65","343.7","343.25","343.45","15692"
"2025-01-01 14:15:00","NSE","INDUSTOWER","343.3","344","343.1","343.95","37270"
"2025-01-01 14:20:00","NSE","INDUSTOWER","343.8","344.25","343.65","344.25","22260"
"2025-01-01 14:25:00","NSE","INDUSTOWER","344.05","344.2","343.5","344","30915"
"2025-01-01 14:30:00","NSE","INDUSTOWER","343.95","343.95","343.4","343.95","21447"
"2025-01-01 14:35:00","NSE","INDUSTOWER","344","344.1","343.75","344.05","20812"
"2025-01-01 14:40:00","NSE","INDUSTOWER","344.1","345.5","344","345.45","110241"
"2025-01-01 14:45:00","NSE","INDUSTOWER","345.5","345.65","344.25","344.4","82852"
"2025-01-01 14:50:00","NSE","INDUSTOWER","344.55","344.8","344.35","344.5","25066"
"2025-01-01 14:55:00","NSE","INDUSTOWER","344.5","344.65","344","344.3","45433"
"2025-01-01 15:00:00","NSE","INDUSTOWER","344.35","344.7","343.8","344.25","46778"
"2025-01-01 15:05:00","NSE","INDUSTOWER","344.15","344.3","343.65","344.05","58279"
"2025-01-01 15:10:00","NSE","INDUSTOWER","344.05","344.55","343.8","344.2","53382"
"2025-01-01 15:15:00","NSE","INDUSTOWER","344.15","344.3","343.7","343.9","68470"
"2025-01-01 15:20:00","NSE","INDUSTOWER","343.85","343.95","343.5","343.75","45036"
"2025-01-01 15:25:00","NSE","INDUSTOWER","343.65","343.85","343.35","343.85","34876"
"2025-01-02 09:15:00","NSE","INDUSTOWER","343.85","344.3","341.7","342.35","118154"
"2025-01-02 09:20:00","NSE","INDUSTOWER","342.35","343.8","342.35","343.2","128234"
"2025-01-02 09:25:00","NSE","INDUSTOWER","343.05","343.95","342.65","343.05","82288"
