datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,298.9,301.5,298.8,301.4,514603,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,301.5,301.6,299.85,300.95,470548,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,300.95,301.9,300.75,301.75,170267,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,301.75,302.4,301.55,302.15,222644,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,302.1,304.3,302.1,304.2,537271,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,304.3,304.3,302.5,303.05,230692,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,303.1,303.25,302.55,302.7,155831,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,302.7,303.4,302.4,303.35,124330,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,303.35,304.7,303,304.25,338124,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,304.15,304.35,303.15,303.35,205583,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,303.3,304.85,303.15,304.8,259313,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,304.75,305.55,304.5,305.1,319245,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,305.1,305.3,304.85,305.15,150783,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,305.15,305.2,304.3,304.9,135445,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,304.85,305.25,304.5,304.75,123687,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,304.65,304.9,304.1,304.3,81227,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,304.25,305.3,304.25,305.25,88309,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,305.25,305.5,305.05,305.2,137815,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,305.2,305.25,304.4,304.9,115172,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,304.9,304.9,304.05,304.05,105853,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,304.1,304.3,303.7,303.95,157131,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,304,304.5,303.9,304.2,90897,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,304.2,304.5,304,304.3,46559,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,304.3,304.6,304.2,304.3,68113,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,304.3,305,304.2,304.8,73159,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:20:00,304.75,304.8,304.2,304.2,54114,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:25:00,304.35,304.4,303.85,304,66538,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:30:00,304,304.2,303.75,303.75,67285,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:35:00,303.7,303.75,303.15,303.55,92312,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:40:00,303.55,304,303.3,303.8,47612,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:45:00,303.8,303.95,303.4,303.45,38206,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:50:00,303.45,303.55,303.2,303.3,68026,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:55:00,303.3,303.8,303.1,303.55,67990,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 12:00:00,303.55,303.9,303.35,303.8,29632,-0.1650,0.0000,-100.00,0.0000,100.00
2025-01-01 12:05:00,303.85,303.9,303.4,303.8,55038,-0.1343,0.0000,-100.00,0.0000,100.00
2025-01-01 12:10:00,303.8,304.35,303.65,304.15,56985,-0.0872,0.0000,-100.00,0.0000,100.00
2025-01-01 12:15:00,304.15,304.8,304,304.6,73562,-0.0256,0.0000,-100.00,0.0000,100.00
2025-01-01 12:20:00,304.75,304.95,304.55,304.6,78006,0.0131,0.0000,100.00,0.0000,100.00
2025-01-01 12:25:00,304.7,304.75,304.35,304.5,55726,0.0290,0.0000,100.00,0.0000,100.00
2025-01-01 12:30:00,304.5,304.55,304,304.15,92296,0.0138,0.0000,100.00,0.0000,100.00
2025-01-01 12:35:00,304.2,304.55,303.9,304.35,66441,0.0150,0.0000,100.00,0.0000,100.00
2025-01-01 12:40:00,304.35,304.4,304,304.2,27596,0.0039,0.0000,100.00,0.0000,100.00
2025-01-01 12:45:00,304.2,304.2,303.85,304.15,52024,-0.0077,0.0000,-100.00,0.0000,100.00
2025-01-01 12:50:00,304.15,304.5,303.9,304.15,51036,-0.0160,0.0000,-100.00,0.0000,100.00
2025-01-01 12:55:00,304.15,304.35,303.7,303.85,34930,-0.0409,0.0000,-100.00,0.0000,100.00
2025-01-01 13:00:00,303.9,304.05,303.8,303.9,43886,-0.0524,0.0000,-100.00,0.0000,100.00
2025-01-01 13:05:00,303.9,304,303.8,303.95,13298,-0.0548,0.0000,-100.00,0.0000,100.00
2025-01-01 13:10:00,303.95,304.2,303.75,303.75,44098,-0.0672,0.0000,-100.00,0.0000,100.00
2025-01-01 13:15:00,303.85,304.05,303.7,303.8,36894,-0.0691,0.0000,-100.00,0.0000,100.00
2025-01-01 13:20:00,303.75,304.05,303.7,303.95,19213,-0.0578,0.0000,-100.00,0.0000,100.00
2025-01-01 13:25:00,303.85,304,303.75,304,39630,-0.0450,0.0000,-100.00,0.0000,100.00
2025-01-01 13:30:00,304,304.35,303.8,304.1,42975,-0.0288,0.0000,-100.00,0.0000,100.00
2025-01-01 13:35:00,304,304.1,303.85,304.1,25010,-0.0174,0.0000,-100.00,0.0000,100.00
2025-01-01 13:40:00,304.1,304.85,303.9,304.7,97214,0.0285,0.0000,100.00,0.0000,100.00
2025-01-01 13:45:00,304.7,305.35,304.7,304.85,196511,0.0650,0.0000,100.00,0.0000,100.00
2025-01-01 13:50:00,304.85,304.95,304.65,304.65,33702,0.0711,0.0000,100.00,0.0000,100.00
2025-01-01 13:55:00,304.8,304.95,304.2,304.95,72336,0.0896,0.0000,100.00,0.0000,100.00
2025-01-01 14:00:00,304.85,305.2,304.25,304.3,99082,0.0541,0.0000,100.00,0.0000,100.00
