datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","LUPIN","2352","2362.2","2336.8","2354.05","30115"
"2025-01-01 09:20:00","NSE","LUPIN","2354.8","2356.55","2348.2","2352.85","13526"
"2025-01-01 09:25:00","NSE","LUPIN","2352.55","2352.55","2346.05","2349","7899"
"2025-01-01 09:30:00","NSE","LUPIN","2348.9","2352.1","2339.05","2340.85","13710"
"2025-01-01 09:35:00","NSE","LUPIN","2341.25","2344.75","2340","2343.35","8286"
"2025-01-01 09:40:00","NSE","LUPIN","2344.7","2347.2","2341.8","2346","4625"
"2025-01-01 09:45:00","NSE","LUPIN","2345.1","2346","2338.5","2343.05","7243"
"2025-01-01 09:50:00","NSE","LUPIN","2342.45","2343.9","2338.15","2343.2","6431"
"2025-01-01 09:55:00","NSE","LUPIN","2343.2","2345.5","2341.25","2344.05","2557"
"2025-01-01 10:00:00","NSE","LUPIN","2344","2350","2342.25","2349","8738"
"2025-01-01 10:05:00","NSE","LUPIN","2349","2350.7","2346.05","2347.35","6434"
"2025-01-01 10:10:00","NSE","LUPIN","2348.05","2352.8","2346.05","2347.7","11607"
"2025-01-01 10:15:00","NSE","LUPIN","2347.75","2347.75","2344.55","2346.5","3652"
"2025-01-01 10:20:00","NSE","LUPIN","2346.2","2348","2343.75","2348","1990"
"2025-01-01 10:25:00","NSE","LUPIN","2348","2352","2346.85","2349.95","4689"
"2025-01-01 10:30:00","NSE","LUPIN","2349.1","2350.7","2347.7","2350","2727"
"2025-01-01 10:35:00","NSE","LUPIN","2349.2","2350.9","2348.45","2349.2","2772"
"2025-01-01 10:40:00","NSE","LUPIN","2350.2","2350.45","2348.5","2349.9","2698"
"2025-01-01 10:45:00","NSE","LUPIN","2349.9","2352","2344.9","2350","12677"
"2025-01-01 10:50:00","NSE","LUPIN","2349.35","2352.85","2345.3","2348.65","9217"
"2025-01-01 10:55:00","NSE","LUPIN","2348.8","2350.05","2346.1","2348.4","21027"
"2025-01-01 11:00:00","NSE","LUPIN","2348.4","2351","2348.05","2348.9","2262"
"2025-01-01 11:05:00","NSE","LUPIN","2349.1","2350.6","2347.45","2348.45","1932"
"2025-01-01 11:10:00","NSE","LUPIN","2349.4","2349.95","2347.25","2349.95","2327"
"2025-01-01 11:15:00","NSE","LUPIN","2349.95","2359.55","2348.05","2357.9","13746"
"2025-01-01 11:20:00","NSE","LUPIN","2357","2362","2357","2359","13858"
"2025-01-01 11:25:00","NSE","LUPIN","2360","2360.65","2345.35","2347","11912"
"2025-01-01 11:30:00","NSE","LUPIN","2346.7","2348.5","2345.3","2347.15","5303"
"2025-01-01 11:35:00","NSE","LUPIN","2347.15","2351.2","2346","2349.85","5675"
"2025-01-01 11:40:00","NSE","LUPIN","2349.85","2356.15","2348.3","2348.3","18835"
"2025-01-01 11:45:00","NSE","LUPIN","2349.8","2350","2348","2350","4330"
"2025-01-01 11:50:00","NSE","LUPIN","2349.95","2350","2345.05","2348","12937"
"2025-01-01 11:55:00","NSE","LUPIN","2348","2348.6","2342.35","2345.15","11106"
"2025-01-01 12:00:00","NSE","LUPIN","2345.15","2346.55","2343.6","2345","3157"
"2025-01-01 12:05:00","NSE","LUPIN","2345.05","2347.5","2344.25","2346.45","4609"
"2025-01-01 12:10:00","NSE","LUPIN","2346.45","2346.7","2343.15","2346.4","3009"
"2025-01-01 12:15:00","NSE","LUPIN","2346.45","2348.2","2344.85","2346.7","17081"
"2025-01-01 12:20:00","NSE","LUPIN","2347.1","2354.5","2344.4","2348.25","25867"
"2025-01-01 12:25:00","NSE","LUPIN","2348.9","2350","2344.4","2347","18573"
"2025-01-01 12:30:00","NSE","LUPIN","2347","2348","2346","2347.3","8947"
"2025-01-01 12:35:00","NSE","LUPIN","2347.3","2347.65","2344.85","2346.05","21146"
"2025-01-01 12:40:00","NSE","LUPIN","2346.05","2346.05","2344.05","2345.9","3601"
"2025-01-01 12:45:00","NSE","LUPIN","2345.25","2346","2344.1","2346","2364"
"2025-01-01 12:50:00","NSE","LUPIN","2345.75","2346.3","2344.35","2345.8","4391"
"2025-01-01 12:55:00","NSE","LUPIN","2344.8","2346.2","2343.65","2345.95","4485"
"2025-01-01 13:00:00","NSE","LUPIN","2345.4","2348.05","2345","2346","4729"
"2025-01-01 13:05:00","NSE","LUPIN","2346","2350","2345.95","2349.55","9010"
"2025-01-01 13:10:00","NSE","LUPIN","2349","2352.65","2348","2352.55","6891"
"2025-01-01 13:15:00","NSE","LUPIN","2352.55","2353","2345","2345.9","17573"
"2025-01-01 13:20:00","NSE","LUPIN","2345.9","2349.3","2345.05","2346.85","2879"
"2025-01-01 13:25:00","NSE","LUPIN","2347.75","2348.4","2345.05","2348.1","5305"
"2025-01-01 13:30:00","NSE","LUPIN","2348.4","2353","2347.25","2353","8110"
"2025-01-01 13:35:00","NSE","LUPIN","2353","2357.55","2352.3","2357.25","9731"
"2025-01-01 13:40:00","NSE","LUPIN","2357.25","2360","2353.95","2359.95","13654"
"2025-01-01 13:45:00","NSE","LUPIN","2360","2367.3","2359.95","2366.95","18298"
"2025-01-01 13:50:00","NSE","LUPIN","2365.85","2366.9","2362.2","2365.4","15683"
"2025-01-01 13:55:00","NSE","LUPIN","2365.1","2365.95","2360.05","2361.65","8976"
"2025-01-01 14:00:00","NSE","LUPIN","2362.1","2369.25","2361.7","2362.15","14451"
"2025-01-01 14:05:00","NSE","LUPIN","2362.65","2365.35","2362.65","2363.35","8630"
"2025-01-01 14:10:00","NSE","LUPIN","2363.8","2364.95","2362","2362","9988"
"2025-01-01 14:15:00","NSE","LUPIN","2362.05","2363.5","2359.55","2359.9","11976"
"2025-01-01 14:20:00","NSE","LUPIN","2360.4","2364.15","2359.3","2364","6915"
"2025-01-01 14:25:00","NSE","LUPIN","2364","2364.45","2359.05","2361.5","7986"
"2025-01-01 14:30:00","NSE","LUPIN","2360.95","2363.9","2360.05","2361.9","7502"
"2025-01-01 14:35:00","NSE","LUPIN","2362.7","2364.85","2361.95","2364.8","7375"
"2025-01-01 14:40:00","NSE","LUPIN","2364.8","2364.9","2361.8","2361.8","7298"
"2025-01-01 14:45:00","NSE","LUPIN","2362.4","2364.5","2360.6","2364.5","8316"
"2025-01-01 14:50:00","NSE","LUPIN","2364.5","2366.1","2362.05","2362.05","11158"
"2025-01-01 14:55:00","NSE","LUPIN","2363.7","2366.35","2361.8","2365.5","10596"
"2025-01-01 15:00:00","NSE","LUPIN","2364.95","2365.65","2360.1","2360.1","13745"
"2025-01-01 15:05:00","NSE","LUPIN","2362.35","2363.65","2358.2","2363.45","10520"
"2025-01-01 15:10:00","NSE","LUPIN","2363.2","2365.55","2360.05","2365.4","16801"
"2025-01-01 15:15:00","NSE","LUPIN","2365.35","2366.7","2362.55","2366.7","23293"
"2025-01-01 15:20:00","NSE","LUPIN","2366.6","2369.4","2366","2367.2","21233"
"2025-01-01 15:25:00","NSE","LUPIN","2367.6","2368.1","2363.55","2368","10981"
"2025-01-02 09:15:00","NSE","LUPIN","2364.9","2367.7","2351.45","2353.2","19128"
"2025-01-02 09:20:00","NSE","LUPIN","2354.3","2358","2351.5","2354.65","10049"
"2025-01-02 09:25:00","NSE","LUPIN","2355","2358.85","2352.85","2355.2","9808"
"2025-01-02 09:30:00","NSE","LUPIN","2355.15","2362.1","2355.1","2360.1","8867"
"2025-01-02 09:35:00","NSE","LUPIN","2360.2","2363.8","2358","2358.7","7681"
"2025-01-02 09:40:00","NSE","LUPIN","2359.8","2360.7","2354","2354.2","4501"
"2025-01-02 09:45:00","NSE","LUPIN","2355","2356.4","2346.3","2348","13436"
"2025-01-02 09:50:00","NSE","LUPIN","2348","2352.1","2347.75","2350","5015"
"2025-01-02 09:55:00","NSE","LUPIN","2351.6","2354","2347.35","2350","6462"
"2025-01-02 10:00:00","NSE","LUPIN","2349.05","2353.95","2349","2351.9","2705"
