datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","MARICO","637.3","641.6","634.05","640","29577"
"2025-01-01 09:20:00","NSE","MARICO","640","644","639.5","642.4","40820"
"2025-01-01 09:25:00","NSE","MARICO","642.85","642.9","641","641.8","19454"
"2025-01-01 09:30:00","NSE","MARICO","641.65","642","639.15","639.85","25304"
"2025-01-01 09:35:00","NSE","MARICO","639.85","641.95","639.15","641.3","16810"
"2025-01-01 09:40:00","NSE","MARICO","641.3","642.25","640.95","641.15","17844"
"2025-01-01 09:45:00","NSE","MARICO","641.25","642.4","639.65","640","11851"
"2025-01-01 09:50:00","NSE","MARICO","639.6","642.45","639.55","641.35","20827"
"2025-01-01 09:55:00","NSE","MARICO","641.35","641.6","640.6","641.05","10599"
"2025-01-01 10:00:00","NSE","MARICO","641.05","641.8","639.15","639.2","25450"
"2025-01-01 10:05:00","NSE","MARICO","639.2","640.4","638.65","639.5","27808"
"2025-01-01 10:10:00","NSE","MARICO","639.55","641.65","639.25","640.25","54560"
"2025-01-01 10:15:00","NSE","MARICO","640.25","641.8","640","640.15","10418"
"2025-01-01 10:20:00","NSE","MARICO","640.25","642","638","638.05","19022"
"2025-01-01 10:25:00","NSE","MARICO","638","638.3","637.7","637.85","4141"
"2025-01-01 10:30:00","NSE","MARICO","637.85","638.85","637.85","638.2","5845"
"2025-01-01 10:35:00","NSE","MARICO","638.2","640.05","638.2","639.75","7184"
"2025-01-01 10:40:00","NSE","MARICO","639.75","640.15","638.75","638.75","5843"
"2025-01-01 10:45:00","NSE","MARICO","638.75","640.05","638.7","639.65","5510"
"2025-01-01 10:50:00","NSE","MARICO","639.75","640.1","639.05","639.1","5263"
"2025-01-01 10:55:00","NSE","MARICO","639.1","641.15","638.95","640.35","10138"
"2025-01-01 11:00:00","NSE","MARICO","640.5","641.1","640.2","640.75","6849"
"2025-01-01 11:05:00","NSE","MARICO","640.5","641.9","640.2","640.35","12213"
"2025-01-01 11:10:00","NSE","MARICO","640.5","641.25","640.3","641","5795"
"2025-01-01 11:15:00","NSE","MARICO","641","641.15","640.5","640.8","3768"
"2025-01-01 11:20:00","NSE","MARICO","640.5","641.2","640.25","640.5","6489"
"2025-01-01 11:25:00","NSE","MARICO","640.5","640.75","640.05","640.55","4694"
"2025-01-01 11:30:00","NSE","MARICO","640.5","641.15","640.2","640.55","9735"
"2025-01-01 11:35:00","NSE","MARICO","640.5","640.8","640.2","640.5","5044"
"2025-01-01 11:40:00","NSE","MARICO","640.5","641.25","640.2","641.15","3326"
"2025-01-01 11:45:00","NSE","MARICO","640.85","641.15","640.35","640.35","6255"
"2025-01-01 11:50:00","NSE","MARICO","640.5","641.6","640.3","640.5","6601"
"2025-01-01 11:55:00","NSE","MARICO","640.5","641.15","640.3","640.5","5598"
"2025-01-01 12:00:00","NSE","MARICO","640.6","641.2","640.25","641","5093"
"2025-01-01 12:05:00","NSE","MARICO","640.85","641.75","640.3","641.45","8208"
"2025-01-01 12:10:00","NSE","MARICO","641.35","641.9","640.35","640.4","9533"
"2025-01-01 12:15:00","NSE","MARICO","640.55","641.25","640.4","640.9","5046"
"2025-01-01 12:20:00","NSE","MARICO","640.9","641.85","640.9","640.9","4872"
"2025-01-01 12:25:00","NSE","MARICO","640.9","641.45","640.3","641.05","6723"
"2025-01-01 12:30:00","NSE","MARICO","641","641.25","640.55","641.1","5081"
"2025-01-01 12:35:00","NSE","MARICO","641","641.5","640.8","640.95","5236"
"2025-01-01 12:40:00","NSE","MARICO","640.9","644","640.85","643.6","25469"
"2025-01-01 12:45:00","NSE","MARICO","643.8","645","643.5","644.45","31393"
"2025-01-01 12:50:00","NSE","MARICO","644.45","644.9","643.95","644.15","14713"
"2025-01-01 12:55:00","NSE","MARICO","644.45","644.85","644","644.4","15035"
"2025-01-01 13:00:00","NSE","MARICO","644.2","644.8","643.75","644.05","15311"
"2025-01-01 13:05:00","NSE","MARICO","644.3","644.7","643.85","644","13260"
"2025-01-01 13:10:00","NSE","MARICO","644.3","644.75","643.85","644.35","13715"
"2025-01-01 13:15:00","NSE","MARICO","644.25","646","643.95","646","44267"
"2025-01-01 13:20:00","NSE","MARICO","646","646","644.25","645","23286"
"2025-01-01 13:25:00","NSE","MARICO","645.1","645.6","644.55","645.35","19490"
"2025-01-01 13:30:00","NSE","MARICO","645.4","647.55","645.25","646.05","45975"
"2025-01-01 13:35:00","NSE","MARICO","646.2","647","646","646.6","33505"
"2025-01-01 13:40:00","NSE","MARICO","646.55","647","646.2","646.5","16555"
"2025-01-01 13:45:00","NSE","MARICO","646.7","647","646.35","646.5","15783"
"2025-01-01 13:50:00","NSE","MARICO","646.5","647.65","646.5","647.2","26551"
"2025-01-01 13:55:00","NSE","MARICO","647.1","647.35","646","646.65","20262"
"2025-01-01 14:00:00","NSE","MARICO","646.75","647.25","646.5","646.65","17189"
"2025-01-01 14:05:00","NSE","MARICO","646.75","647.6","646","647.6","50664"
"2025-01-01 14:10:00","NSE","MARICO","647.55","648.2","646","646.05","117604"
"2025-01-01 14:15:00","NSE","MARICO","646.05","646.35","645.75","646.1","39673"
"2025-01-01 14:20:00","NSE","MARICO","646.1","646.35","646","646","20580"
"2025-01-01 14:25:00","NSE","MARICO","646","646.5","646","646","23134"
"2025-01-01 14:30:00","NSE","MARICO","646","646.85","646","646.15","26380"
"2025-01-01 14:35:00","NSE","MARICO","646.05","646.35","646","646","22113"
"2025-01-01 14:40:00","NSE","MARICO","646","646.2","645.95","646","30209"
"2025-01-01 14:45:00","NSE","MARICO","646.05","646.25","644.3","644.7","121033"
"2025-01-01 14:50:00","NSE","MARICO","644.55","645.05","644","644.3","20993"
"2025-01-01 14:55:00","NSE","MARICO","644.25","644.4","643.55","643.75","24994"
"2025-01-01 15:00:00","NSE","MARICO","643.75","644.7","643.6","643.7","22909"
"2025-01-01 15:05:00","NSE","MARICO","643.75","644.6","643.5","644.25","28920"
"2025-01-01 15:10:00","NSE","MARICO","644.4","646","643.95","644.9","70394"
"2025-01-01 15:15:00","NSE","MARICO","645","645.2","643.45","643.6","34514"
"2025-01-01 15:20:00","NSE","MARICO","643.55","643.6","642","642.3","48823"
"2025-01-01 15:25:00","NSE","MARICO","642.25","643.05","642.25","642.7","13674"
"2025-01-02 09:15:00","NSE","MARICO","639.1","647.5","637.45","646.45","44106"
"2025-01-02 09:20:00","NSE","MARICO","646.45","647","644.05","644.1","15220"
"2025-01-02 09:25:00","NSE","MARICO","644.05","644.55","642","643.35","11786"
"2025-01-02 09:30:00","NSE","MARICO","643.3","643.8","642","643.8","4568"
"2025-01-02 09:35:00","NSE","MARICO","643.5","644.45","643","643","2174"
"2025-01-02 09:40:00","NSE","MARICO","643.45","644.15","643","643.9","1138"
"2025-01-02 09:45:00","NSE","MARICO","644.05","647","644.05","646.55","13579"
"2025-01-02 09:50:00","NSE","MARICO","646.6","646.75","644.6","646.7","5913"
"2025-01-02 09:55:00","NSE","MARICO","646.7","647","645.65","646.35","10306"
"2025-01-02 10:00:00","NSE","MARICO","646.1","646.1","644.25","644.85","7686"
"2025-01-02 10:05:00","NSE","MARICO","644.85","645.6","644","644","5017"
"2025-01-02 10:10:00","NSE","MARICO","644","644.7","643.5","643.75","4340"
"2025-01-02 10:15:00","NSE","MARICO","643.75","646.1","643.45","644.45","9021"
"2025-01-02 10:20:00","NSE","MARICO","644.6","644.9","643.65","644.7","6600"
"2025-01-02 10:25:00","NSE","MARICO","644.7","644.85","643.6","643.95","11013"
"2025-01-02 10:30:00","NSE","MARICO","644","645.5","643.95","645","18872"
"2025-01-02 10:35:00","NSE","MARICO","645","645.95","644.75","645.25","100137"
"2025-01-02 10:40:00","NSE","MARICO","645.15","646.9","645","646.8","10282"
"2025-01-02 10:45:00","NSE","MARICO","646.25","647.25","646","646.25","13218"
"2025-01-02 10:50:00","NSE","MARICO","646.25","646.7","645.25","646.1","6926"
"2025-01-02 10:55:00","NSE","MARICO","646.1","647","645.5","646.75","9084"
"2025-01-02 11:00:00","NSE","MARICO","646.75","646.95","646.15","646.7","5221"
"2025-01-02 11:05:00","NSE","MARICO","646.7","646.95","645.5","645.95","6833"
"2025-01-02 11:10:00","NSE","MARICO","646.15","646.6","645.5","646.5","6483"
"2025-01-02 11:15:00","NSE","MARICO","646.5","646.7","646","646.7","3775"
"2025-01-02 11:20:00","NSE","MARICO","646.75","650","646.35","649.3","78466"
"2025-01-02 11:25:00","NSE","MARICO","649.3","650.9","648.55","650.3","39300"
