datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,10858.35,10878,10826.2,10866,2717,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,10870,10873.55,10830,10830,2962,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,10832.05,10846.6,10826,10846.6,1336,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,10844.7,10845.65,10821,10829.2,1247,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,10829.5,10850.6,10828,10848.9,675,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,10849,10855.6,10828.25,10831.95,817,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,10832,10832.85,10800.8,10801.45,4483,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,10805.05,10825.2,10800.2,10809.75,1093,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,10809.75,10821.35,10806,10814.9,809,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,10815.05,10824.85,10806,10813.25,844,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,10813.25,10825,10810.35,10813.1,1697,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,10820.35,10846.6,10816.4,10825,667,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,10825.15,10830.8,10814.05,10825.65,520,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,10820,10823.8,10806.8,10821.95,1288,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,10816.55,10824.95,10811.45,10824.9,303,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,10824.9,10843.95,10815.5,10839.95,3710,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,10837.3,10855.95,10835,10846.25,1705,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,10846.25,10848,10835,10839.1,549,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,10840,10866,10836.15,10866,1175,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,10866,10888,10864.65,10885,3681,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,10881.5,10897.95,10881.15,10884.35,1496,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,10889.05,10899,10887.5,10894.65,1313,0.0000,0.0000,0.00,0.0000,100.00
