datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","NAUKRI","1739.2","1754.96","1733.6","1744.16","18960"
"2025-01-01 09:20:00","NSE","NAUKRI","1742.91","1744.25","1732.91","1734.68","9030"
"2025-01-01 09:25:00","NSE","NAUKRI","1734","1735.37","1730","1730.88","2045"
"2025-01-01 09:30:00","NSE","NAUKRI","1730.88","1732.92","1726.04","1726.56","4820"
"2025-01-01 09:35:00","NSE","NAUKRI","1726.56","1729.8","1726","1728.26","2935"
"2025-01-01 09:40:00","NSE","NAUKRI","1727.6","1727.6","1725","1726.56","2585"
"2025-01-01 09:45:00","NSE","NAUKRI","1725.48","1725.9","1722","1723.01","2740"
"2025-01-01 09:50:00","NSE","NAUKRI","1723","1727.37","1722.62","1726.48","3410"
"2025-01-01 09:55:00","NSE","NAUKRI","1726","1728","1723.8","1726.82","770"
"2025-01-01 10:00:00","NSE","NAUKRI","1726.08","1727.01","1724.04","1727.01","1475"
"2025-01-01 10:05:00","NSE","NAUKRI","1726.22","1726.52","1720.72","1721.87","4835"
"2025-01-01 10:10:00","NSE","NAUKRI","1721.22","1725.8","1720.22","1722.36","3790"
"2025-01-01 10:15:00","NSE","NAUKRI","1722.46","1724.72","1722.4","1722.8","760"
"2025-01-01 10:20:00","NSE","NAUKRI","1723.13","1723.53","1721.8","1722.93","1365"
"2025-01-01 10:25:00","NSE","NAUKRI","1722.38","1731.41","1722.14","1728.15","6100"
"2025-01-01 10:30:00","NSE","NAUKRI","1728.37","1730","1728.03","1728.87","2165"
"2025-01-01 10:35:00","NSE","NAUKRI","1729.07","1729.96","1728.29","1728.92","610"
"2025-01-01 10:40:00","NSE","NAUKRI","1728.92","1729.75","1727.59","1728.27","1495"
"2025-01-01 10:45:00","NSE","NAUKRI","1728.02","1733.2","1727.85","1732.4","1545"
"2025-01-01 10:50:00","NSE","NAUKRI","1732.27","1733","1729.2","1730.8","2415"
"2025-01-01 10:55:00","NSE","NAUKRI","1730.93","1731.75","1730.47","1731.59","550"
"2025-01-01 11:00:00","NSE","NAUKRI","1731.62","1732.44","1726.02","1726.64","3650"
"2025-01-01 11:05:00","NSE","NAUKRI","1726.61","1727.8","1726.6","1726.83","410"
"2025-01-01 11:10:00","NSE","NAUKRI","1727.76","1728.49","1726.8","1727.47","1075"
"2025-01-01 11:15:00","NSE","NAUKRI","1728.36","1730.9","1726.8","1729.52","2640"
"2025-01-01 11:20:00","NSE","NAUKRI","1730.57","1731","1727","1727.15","1495"
"2025-01-01 11:25:00","NSE","NAUKRI","1727.03","1729.2","1726","1728.26","7875"
"2025-01-01 11:30:00","NSE","NAUKRI","1728.43","1729.55","1726.58","1726.96","1970"
"2025-01-01 11:35:00","NSE","NAUKRI","1727.14","1728.19","1726.3","1726.45","1120"
"2025-01-01 11:40:00","NSE","NAUKRI","1726.46","1727.77","1726.41","1726.79","1570"
"2025-01-01 11:45:00","NSE","NAUKRI","1726.83","1729.6","1726.55","1727.74","1940"
"2025-01-01 11:50:00","NSE","NAUKRI","1727.81","1729.6","1727.03","1727.43","1675"
"2025-01-01 11:55:00","NSE","NAUKRI","1727.86","1727.86","1726.21","1726.6","6440"
"2025-01-01 12:00:00","NSE","NAUKRI","1727.5","1728.49","1726.6","1727.23","900"
"2025-01-01 12:05:00","NSE","NAUKRI","1728.08","1728.28","1726.42","1726.63","940"
"2025-01-01 12:10:00","NSE","NAUKRI","1726.55","1728.6","1726.46","1726.81","2545"
"2025-01-01 12:15:00","NSE","NAUKRI","1726.81","1728.88","1726.68","1726.98","1265"
"2025-01-01 12:20:00","NSE","NAUKRI","1727.55","1728.1","1726","1726.66","2770"
"2025-01-01 12:25:00","NSE","NAUKRI","1726.67","1727.45","1726","1726.3","25040"
"2025-01-01 12:30:00","NSE","NAUKRI","1726.29","1728.03","1726","1726.14","7755"
"2025-01-01 12:35:00","NSE","NAUKRI","1726.12","1732.28","1726","1730.68","3910"
"2025-01-01 12:40:00","NSE","NAUKRI","1730.68","1731.57","1729.15","1729.65","1895"
"2025-01-01 12:45:00","NSE","NAUKRI","1730.08","1732.61","1728.33","1729.91","3845"
"2025-01-01 12:50:00","NSE","NAUKRI","1729.42","1729.9","1727.14","1729.28","1250"
"2025-01-01 12:55:00","NSE","NAUKRI","1729.25","1732.92","1726.21","1732.9","3445"
"2025-01-01 13:00:00","NSE","NAUKRI","1732.3","1737.92","1731.47","1735.58","7620"
"2025-01-01 13:05:00","NSE","NAUKRI","1735.11","1736.94","1735.1","1735.99","2700"
"2025-01-01 13:10:00","NSE","NAUKRI","1735.18","1735.92","1733.2","1735","7365"
"2025-01-01 13:15:00","NSE","NAUKRI","1735","1736.72","1735","1736.02","3280"
"2025-01-01 13:20:00","NSE","NAUKRI","1736.03","1736.8","1734.8","1735.2","3390"
"2025-01-01 13:25:00","NSE","NAUKRI","1735.2","1736","1735","1735.05","2355"
"2025-01-01 13:30:00","NSE","NAUKRI","1735.42","1737.6","1735","1736.3","4210"
"2025-01-01 13:35:00","NSE","NAUKRI","1736.38","1737","1735.75","1736.77","1140"
"2025-01-01 13:40:00","NSE","NAUKRI","1736.63","1738.81","1735.32","1735.69","9220"
"2025-01-01 13:45:00","NSE","NAUKRI","1735.76","1736.85","1735.69","1735.7","2035"
"2025-01-01 13:50:00","NSE","NAUKRI","1735.7","1737.61","1734.8","1737.38","3935"
"2025-01-01 13:55:00","NSE","NAUKRI","1736.41","1736.6","1735.1","1736.15","2160"
"2025-01-01 14:00:00","NSE","NAUKRI","1737.31","1739.01","1736.09","1736.93","6100"
"2025-01-01 14:05:00","NSE","NAUKRI","1736.29","1737.88","1735.83","1736.46","3390"
"2025-01-01 14:10:00","NSE","NAUKRI","1737.1","1740.99","1735.85","1737.13","18975"
"2025-01-01 14:15:00","NSE","NAUKRI","1738.31","1741.5","1736.33","1739.3","11815"
"2025-01-01 14:20:00","NSE","NAUKRI","1739.53","1740.59","1738.74","1740.2","4375"
"2025-01-01 14:25:00","NSE","NAUKRI","1740.08","1741.49","1740.08","1741.49","1395"
"2025-01-01 14:30:00","NSE","NAUKRI","1740.75","1741.53","1740.37","1740.75","2955"
"2025-01-01 14:35:00","NSE","NAUKRI","1740.9","1741.5","1740","1740","2540"
"2025-01-01 14:40:00","NSE","NAUKRI","1740","1740.91","1739.71","1740.11","2835"
"2025-01-01 14:45:00","NSE","NAUKRI","1740.12","1742.04","1739.8","1741.35","6215"
"2025-01-01 14:50:00","NSE","NAUKRI","1741.55","1743.03","1740.91","1743","3265"
"2025-01-01 14:55:00","NSE","NAUKRI","1743","1743","1740","1740","4905"
"2025-01-01 15:00:00","NSE","NAUKRI","1740.93","1742.11","1739.81","1740.12","4605"
"2025-01-01 15:05:00","NSE","NAUKRI","1740.17","1742.88","1739.4","1742.04","8345"
"2025-01-01 15:10:00","NSE","NAUKRI","1742.37","1747.09","1741.84","1746.42","10365"
"2025-01-01 15:15:00","NSE","NAUKRI","1746.42","1750.05","1746.01","1749.27","11540"
"2025-01-01 15:20:00","NSE","NAUKRI","1749.62","1751.81","1748.26","1751.81","12170"
"2025-01-01 15:25:00","NSE","NAUKRI","1751.55","1751.9","1742.81","1748.4","9550"
"2025-01-02 09:15:00","NSE","NAUKRI","1746.08","1760","1742.01","1749.9","29735"
"2025-01-02 09:20:00","NSE","NAUKRI","1749.89","1752.99","1744.97","1744.97","4835"
"2025-01-02 09:25:00","NSE","NAUKRI","1744.91","1747.98","1742.41","1745.76","6480"
"2025-01-02 09:30:00","NSE","NAUKRI","1745.58","1756.28","1743.35","1755.89","32005"
"2025-01-02 09:35:00","NSE","NAUKRI","1755.04","1769.64","1754.51","1769.03","64850"
"2025-01-02 09:40:00","NSE","NAUKRI","1769.64","1770.2","1762.78","1764.68","45995"
"2025-01-02 09:45:00","NSE","NAUKRI","1764.68","1771.51","1764.68","1766.11","17660"
"2025-01-02 09:50:00","NSE","NAUKRI","1766.02","1768.22","1765.26","1766.4","9835"
"2025-01-02 09:55:00","NSE","NAUKRI","1766.39","1773.06","1766.26","1769.71","16300"
"2025-01-02 10:00:00","NSE","NAUKRI","1769.9","1774.83","1767","1774.19","14585"
"2025-01-02 10:05:00","NSE","NAUKRI","1773.94","1776.99","1772.41","1774.99","24825"
"2025-01-02 10:10:00","NSE","NAUKRI","1774.39","1776.7","1771.28","1773.8","26250"
"2025-01-02 10:15:00","NSE","NAUKRI","1773.98","1784.64","1773","1783.38","53545"
"2025-01-02 10:20:00","NSE","NAUKRI","1784","1788","1782.01","1784.8","29895"
"2025-01-02 10:25:00","NSE","NAUKRI","1784.77","1784.8","1782.04","1782.88","7100"
"2025-01-02 10:30:00","NSE","NAUKRI","1782.5","1785.6","1782.01","1783.01","9980"
"2025-01-02 10:35:00","NSE","NAUKRI","1783.58","1787.99","1776.31","1778.19","27700"
"2025-01-02 10:40:00","NSE","NAUKRI","1779.95","1783.47","1778.3","1782.48","11055"
"2025-01-02 10:45:00","NSE","NAUKRI","1781.87","1785.5","1777.01","1778.89","11590"
