datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","NUVAMA","1387.8","1416.77","1386.9","1392.43","55680"
"2025-01-01 09:20:00","NSE","NUVAMA","1394.67","1394.67","1386.26","1389.07","19395"
"2025-01-01 09:25:00","NSE","NUVAMA","1390.26","1396.8","1387.61","1396.77","10100"
"2025-01-01 09:30:00","NSE","NUVAMA","1396.6","1396.8","1389","1390.73","3250"
"2025-01-01 09:35:00","NSE","NUVAMA","1391.95","1395.98","1389","1394.99","4875"
"2025-01-01 09:40:00","NSE","NUVAMA","1395","1395.7","1391.92","1393.86","6120"
"2025-01-01 09:45:00","NSE","NUVAMA","1395.03","1395.03","1391.45","1393","1615"
"2025-01-01 09:50:00","NSE","NUVAMA","1393.19","1394.14","1391.27","1393.39","1860"
"2025-01-01 09:55:00","NSE","NUVAMA","1391.98","1393.98","1391.12","1392.99","1015"
"2025-01-01 10:00:00","NSE","NUVAMA","1392.97","1393.93","1389.19","1392.6","2430"
"2025-01-01 10:05:00","NSE","NUVAMA","1392.6","1393.98","1391.14","1393.18","1495"
"2025-01-01 10:10:00","NSE","NUVAMA","1393.18","1393.98","1390.66","1392.4","3210"
"2025-01-01 10:15:00","NSE","NUVAMA","1391.8","1393.54","1391.15","1393.53","785"
"2025-01-01 10:20:00","NSE","NUVAMA","1393.4","1393.54","1393","1393.2","1070"
"2025-01-01 10:25:00","NSE","NUVAMA","1393","1394","1391.46","1393.76","5755"
"2025-01-01 10:30:00","NSE","NUVAMA","1392.69","1396.8","1392.69","1394.88","6920"
"2025-01-01 10:35:00","NSE","NUVAMA","1394.13","1396.8","1393.65","1396.78","3070"
"2025-01-01 10:40:00","NSE","NUVAMA","1396.78","1398","1395.84","1397.98","6830"
"2025-01-01 10:45:00","NSE","NUVAMA","1397.98","1398.98","1397.42","1398.98","7175"
"2025-01-01 10:50:00","NSE","NUVAMA","1398.98","1399.96","1398.02","1399.57","3720"
"2025-01-01 10:55:00","NSE","NUVAMA","1398.56","1402.38","1398.41","1402.37","12855"
"2025-01-01 11:00:00","NSE","NUVAMA","1402","1402","1399.66","1400.33","6115"
"2025-01-01 11:05:00","NSE","NUVAMA","1400.03","1402","1399.99","1402","2815"
"2025-01-01 11:10:00","NSE","NUVAMA","1401.21","1403.6","1400.8","1403","5615"
"2025-01-01 11:15:00","NSE","NUVAMA","1403","1406","1402.25","1405.6","13545"
"2025-01-01 11:20:00","NSE","NUVAMA","1405.8","1406","1401.4","1402.78","20445"
"2025-01-01 11:25:00","NSE","NUVAMA","1402","1403.94","1400.95","1403.92","34705"
"2025-01-01 11:30:00","NSE","NUVAMA","1403.7","1403.94","1401.95","1403.92","2210"
"2025-01-01 11:35:00","NSE","NUVAMA","1402.99","1403.91","1402.09","1402.65","2155"
"2025-01-01 11:40:00","NSE","NUVAMA","1402.6","1403.79","1402","1403.74","2685"
"2025-01-01 11:45:00","NSE","NUVAMA","1403.74","1403.94","1400.65","1403.94","5685"
"2025-01-01 11:50:00","NSE","NUVAMA","1403.94","1408.06","1402.27","1404.45","26755"
"2025-01-01 11:55:00","NSE","NUVAMA","1404.45","1405","1400.8","1403.09","3410"
"2025-01-01 12:00:00","NSE","NUVAMA","1403","1403.06","1400.8","1401.05","1645"
"2025-01-01 12:05:00","NSE","NUVAMA","1401.79","1402","1400.21","1401.2","3355"
"2025-01-01 12:10:00","NSE","NUVAMA","1401.2","1401.2","1399.3","1400.55","1040"
"2025-01-01 12:15:00","NSE","NUVAMA","1400.6","1401.2","1398.17","1400.3","1355"
"2025-01-01 12:20:00","NSE","NUVAMA","1400.98","1402","1400.02","1401.2","2690"
"2025-01-01 12:25:00","NSE","NUVAMA","1400.49","1402","1399.73","1401","1590"
"2025-01-01 12:30:00","NSE","NUVAMA","1401.69","1402","1398.42","1401.42","2205"
"2025-01-01 12:35:00","NSE","NUVAMA","1401.28","1401.79","1400.02","1401.39","600"
"2025-01-01 12:40:00","NSE","NUVAMA","1401.4","1402","1399.7","1399.7","2260"
"2025-01-01 12:45:00","NSE","NUVAMA","1400.44","1400.44","1399.22","1400.2","455"
"2025-01-01 12:50:00","NSE","NUVAMA","1400.19","1400.2","1396.8","1397.96","2375"
"2025-01-01 12:55:00","NSE","NUVAMA","1397.96","1398","1396","1397.24","2310"
"2025-01-01 13:00:00","NSE","NUVAMA","1397.24","1398","1396.01","1397.99","735"
"2025-01-01 13:05:00","NSE","NUVAMA","1397.15","1398","1396.69","1398","1110"
"2025-01-01 13:10:00","NSE","NUVAMA","1398","1398","1396","1398","2845"
"2025-01-01 13:15:00","NSE","NUVAMA","1398","1398","1396.62","1398","7650"
"2025-01-01 13:20:00","NSE","NUVAMA","1398","1398","1397.26","1397.98","330"
"2025-01-01 13:25:00","NSE","NUVAMA","1397.19","1403","1396.45","1401.02","7620"
"2025-01-01 13:30:00","NSE","NUVAMA","1402.03","1402.26","1400.61","1400.7","1035"
"2025-01-01 13:35:00","NSE","NUVAMA","1401.82","1402","1399.07","1401.45","795"
"2025-01-01 13:40:00","NSE","NUVAMA","1400.36","1402","1400.23","1401.21","780"
"2025-01-01 13:45:00","NSE","NUVAMA","1401.21","1401.85","1400.06","1400.75","1510"
"2025-01-01 13:50:00","NSE","NUVAMA","1401.53","1401.65","1400.01","1401.27","365"
"2025-01-01 13:55:00","NSE","NUVAMA","1399.93","1402","1399.23","1401.52","3135"
"2025-01-01 14:00:00","NSE","NUVAMA","1401.95","1403","1401","1401.82","1850"
"2025-01-01 14:05:00","NSE","NUVAMA","1402.15","1402.2","1398.42","1401.36","2345"
"2025-01-01 14:10:00","NSE","NUVAMA","1401.52","1402.14","1397.99","1402.14","4485"
"2025-01-01 14:15:00","NSE","NUVAMA","1402.14","1402.2","1400.79","1400.79","1030"
"2025-01-01 14:20:00","NSE","NUVAMA","1400.76","1401","1399.66","1399.81","1775"
"2025-01-01 14:25:00","NSE","NUVAMA","1399.81","1401","1399.52","1400.25","765"
"2025-01-01 14:30:00","NSE","NUVAMA","1400","1400.4","1398.55","1399.2","1200"
"2025-01-01 14:35:00","NSE","NUVAMA","1400","1400","1398.49","1399.8","1090"
"2025-01-01 14:40:00","NSE","NUVAMA","1399.8","1400","1397","1399.47","3915"
"2025-01-01 14:45:00","NSE","NUVAMA","1398.21","1400","1396.35","1396.45","2675"
"2025-01-01 14:50:00","NSE","NUVAMA","1396.17","1396.17","1393.01","1396","5605"
"2025-01-01 14:55:00","NSE","NUVAMA","1396","1397.98","1395.34","1397.59","5730"
"2025-01-01 15:00:00","NSE","NUVAMA","1397.61","1397.62","1395.17","1396.8","2715"
"2025-01-01 15:05:00","NSE","NUVAMA","1396.8","1396.86","1395.27","1396.4","3810"
"2025-01-01 15:10:00","NSE","NUVAMA","1396.39","1400","1393.01","1399.96","13710"
"2025-01-01 15:15:00","NSE","NUVAMA","1399.97","1399.97","1396.01","1399.4","6730"
"2025-01-01 15:20:00","NSE","NUVAMA","1398.32","1402.74","1396.4","1402.74","8145"
"2025-01-01 15:25:00","NSE","NUVAMA","1402.73","1402.74","1393.01","1399.94","10710"
"2025-01-02 09:15:00","NSE","NUVAMA","1403.4","1409.48","1399.52","1406","25060"
"2025-01-02 09:20:00","NSE","NUVAMA","1406.05","1411.61","1402.65","1409.4","13265"
"2025-01-02 09:25:00","NSE","NUVAMA","1409.8","1410.59","1407.05","1409.74","3500"
"2025-01-02 09:30:00","NSE","NUVAMA","1409.74","1423","1408.81","1423","56215"
"2025-01-02 09:35:00","NSE","NUVAMA","1423.4","1425.6","1415.73","1419.99","21825"
"2025-01-02 09:40:00","NSE","NUVAMA","1420","1425","1418","1420","18770"
"2025-01-02 09:45:00","NSE","NUVAMA","1419.05","1427","1418.45","1425.37","16260"
"2025-01-02 09:50:00","NSE","NUVAMA","1424.53","1426.17","1419.03","1426.17","8895"
"2025-01-02 09:55:00","NSE","NUVAMA","1426.19","1434.8","1425.54","1432.46","42995"
"2025-01-02 10:00:00","NSE","NUVAMA","1432.75","1438","1429.12","1437.8","46695"
"2025-01-02 10:05:00","NSE","NUVAMA","1437.33","1441.77","1436.4","1437.08","29330"
"2025-01-02 10:10:00","NSE","NUVAMA","1438","1447.98","1438","1446.41","39815"
"2025-01-02 10:15:00","NSE","NUVAMA","1447","1447","1432.96","1433.96","20275"
"2025-01-02 10:20:00","NSE","NUVAMA","1433.95","1433.95","1424.48","1427.56","26125"
"2025-01-02 10:25:00","NSE","NUVAMA","1428","1429.68","1427.57","1428.02","8540"
