datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","PATANJALI","589.98","601.32","588.43","590.67","39579"
"2025-01-01 09:20:00","NSE","PATANJALI","591.05","593.15","589.02","591.07","8703"
"2025-01-01 09:25:00","NSE","PATANJALI","591.08","592.67","590.7","592.35","6711"
"2025-01-01 09:30:00","NSE","PATANJALI","592.03","592.67","589.28","590.37","4839"
"2025-01-01 09:35:00","NSE","PATANJALI","590.37","591.02","589.38","590.85","1623"
"2025-01-01 09:40:00","NSE","PATANJALI","591.27","591.65","589.75","590.6","4167"
"2025-01-01 09:45:00","NSE","PATANJALI","590.6","591.95","589.68","590.02","10191"
"2025-01-01 09:50:00","NSE","PATANJALI","590","590.83","589.33","590.4","3069"
"2025-01-01 09:55:00","NSE","PATANJALI","589.95","591.92","589.57","591.72","2898"
"2025-01-01 10:00:00","NSE","PATANJALI","591.3","592.52","589.52","590.15","1224"
"2025-01-01 10:05:00","NSE","PATANJALI","589.67","590.8","589.43","590.1","2055"
"2025-01-01 10:10:00","NSE","PATANJALI","589.77","592.23","589.4","590.7","1905"
"2025-01-01 10:15:00","NSE","PATANJALI","591.23","591.67","590.35","590.95","1842"
"2025-01-01 10:20:00","NSE","PATANJALI","591.05","591.32","590.35","591.03","663"
"2025-01-01 10:25:00","NSE","PATANJALI","590.67","591.28","590.35","591.15","801"
"2025-01-01 10:30:00","NSE","PATANJALI","591.17","591.57","590.72","591.05","576"
"2025-01-01 10:35:00","NSE","PATANJALI","590.93","592.38","590.35","591.88","1380"
"2025-01-01 10:40:00","NSE","PATANJALI","591.3","592.1","590.92","591.32","858"
"2025-01-01 10:45:00","NSE","PATANJALI","591.95","594","591.27","592.98","5304"
"2025-01-01 10:50:00","NSE","PATANJALI","592.98","596.13","592.98","595.58","8214"
"2025-01-01 10:55:00","NSE","PATANJALI","596","598.33","595.95","596.73","8496"
"2025-01-01 11:00:00","NSE","PATANJALI","597.57","598.33","593.35","593.35","18462"
"2025-01-01 11:05:00","NSE","PATANJALI","593.35","594.57","592.97","593.15","4590"
"2025-01-01 11:10:00","NSE","PATANJALI","592.87","595.6","592.57","593.5","77583"
"2025-01-01 11:15:00","NSE","PATANJALI","594.07","596.25","592.6","593.77","61869"
"2025-01-01 11:20:00","NSE","PATANJALI","593.67","593.85","590","590.97","57516"
"2025-01-01 11:25:00","NSE","PATANJALI","590.92","591.6","590.4","590.98","2841"
"2025-01-01 11:30:00","NSE","PATANJALI","591.38","591.38","590","590","837"
"2025-01-01 11:35:00","NSE","PATANJALI","589.67","590.17","589.33","589.57","5229"
"2025-01-01 11:40:00","NSE","PATANJALI","589.67","593.03","589.33","592.32","4416"
"2025-01-01 11:45:00","NSE","PATANJALI","592","593.37","591.52","593.2","2784"
"2025-01-01 11:50:00","NSE","PATANJALI","592.83","592.83","591.75","592.17","648"
"2025-01-01 11:55:00","NSE","PATANJALI","592.28","592.28","590.92","591.75","645"
"2025-01-01 12:00:00","NSE","PATANJALI","591.9","594.12","591.68","593.45","8025"
"2025-01-01 12:05:00","NSE","PATANJALI","593.72","594.67","593.32","594.48","1461"
"2025-01-01 12:10:00","NSE","PATANJALI","594.9","594.92","593.6","593.6","1743"
"2025-01-01 12:15:00","NSE","PATANJALI","593.52","594","593.42","593.58","453"
"2025-01-01 12:20:00","NSE","PATANJALI","593.58","593.93","593.58","593.6","369"
"2025-01-01 12:25:00","NSE","PATANJALI","593.6","594.67","593.6","594.63","4155"
"2025-01-01 12:30:00","NSE","PATANJALI","594.67","594.67","594.37","594.38","576"
"2025-01-01 12:35:00","NSE","PATANJALI","594.38","594.62","593.72","593.72","285"
"2025-01-01 12:40:00","NSE","PATANJALI","593.58","593.93","593.58","593.93","198"
"2025-01-01 12:45:00","NSE","PATANJALI","593.93","594.18","593.72","593.72","831"
"2025-01-01 12:50:00","NSE","PATANJALI","593.72","593.98","593.07","593.07","1350"
"2025-01-01 12:55:00","NSE","PATANJALI","593.57","593.57","593.03","593.03","204"
"2025-01-01 13:00:00","NSE","PATANJALI","593.12","593.12","591.92","592.42","2961"
"2025-01-01 13:05:00","NSE","PATANJALI","592.42","592.65","591.67","591.67","3696"
"2025-01-01 13:10:00","NSE","PATANJALI","591.67","591.67","590.98","591.13","3321"
"2025-01-01 13:15:00","NSE","PATANJALI","591.1","591.5","591.07","591.18","180"
"2025-01-01 13:20:00","NSE","PATANJALI","591.5","591.5","591.12","591.48","486"
"2025-01-01 13:25:00","NSE","PATANJALI","591.33","592.15","591.08","591.08","3222"
"2025-01-01 13:30:00","NSE","PATANJALI","591.07","591.5","591.07","591.08","195"
"2025-01-01 13:35:00","NSE","PATANJALI","591.55","592.12","591.07","592.12","288"
"2025-01-01 13:40:00","NSE","PATANJALI","591.57","592.23","591.55","591.67","312"
"2025-01-01 13:45:00","NSE","PATANJALI","592.23","592.82","591.73","592.82","378"
"2025-01-01 13:50:00","NSE","PATANJALI","592.9","593.65","592.37","593.1","1422"
"2025-01-01 13:55:00","NSE","PATANJALI","593","593.63","593","593.35","279"
"2025-01-01 14:00:00","NSE","PATANJALI","593.33","593.83","592.67","593.83","2049"
"2025-01-01 14:05:00","NSE","PATANJALI","593.83","593.98","593.57","593.58","327"
"2025-01-01 14:10:00","NSE","PATANJALI","593.98","594.33","593.58","593.65","948"
"2025-01-01 14:15:00","NSE","PATANJALI","593.63","594.32","593.35","594.08","2616"
"2025-01-01 14:20:00","NSE","PATANJALI","594.17","594.25","593.67","593.67","4470"
"2025-01-01 14:25:00","NSE","PATANJALI","593.77","594.33","593.77","593.83","4611"
"2025-01-01 14:30:00","NSE","PATANJALI","593.83","593.83","593.33","593.5","624"
"2025-01-01 14:35:00","NSE","PATANJALI","593.5","594.07","593.42","594.07","849"
"2025-01-01 14:40:00","NSE","PATANJALI","593.67","594.23","593.33","593.33","3237"
"2025-01-01 14:45:00","NSE","PATANJALI","593.63","593.93","593.25","593.25","2934"
"2025-01-01 14:50:00","NSE","PATANJALI","593.27","595.33","593.25","595.02","23454"
"2025-01-01 14:55:00","NSE","PATANJALI","595.32","597.67","594.77","597.65","21849"
"2025-01-01 15:00:00","NSE","PATANJALI","597.63","608.33","596.5","605.3","273237"
"2025-01-01 15:05:00","NSE","PATANJALI","605.67","605.67","600.42","602.02","18231"
"2025-01-01 15:10:00","NSE","PATANJALI","602.02","604.33","600.5","602","12375"
"2025-01-01 15:15:00","NSE","PATANJALI","601.68","604","601.48","603.3","29136"
"2025-01-01 15:20:00","NSE","PATANJALI","602.82","604.65","602","603.17","36912"
"2025-01-01 15:25:00","NSE","PATANJALI","603.3","604.33","600.33","604.33","19197"
"2025-01-02 09:15:00","NSE","PATANJALI","602.97","608.3","601.38","605.07","53667"
"2025-01-02 09:20:00","NSE","PATANJALI","605.05","606.65","604.07","604.1","9045"
"2025-01-02 09:25:00","NSE","PATANJALI","604.67","605.57","603.98","604.85","3312"
"2025-01-02 09:30:00","NSE","PATANJALI","604.9","606.28","604.57","606.22","3765"
"2025-01-02 09:35:00","NSE","PATANJALI","606.17","607","604.97","606.82","4299"
"2025-01-02 09:40:00","NSE","PATANJALI","607.27","607.32","605.88","606.12","3105"
"2025-01-02 09:45:00","NSE","PATANJALI","606.12","607.03","605.83","606.33","2064"
"2025-01-02 09:50:00","NSE","PATANJALI","606.33","607.17","605.7","606.88","4098"
"2025-01-02 09:55:00","NSE","PATANJALI","606.88","607.33","605.02","605.1","168465"
"2025-01-02 10:00:00","NSE","PATANJALI","605.82","606.62","605.08","605.92","5046"
"2025-01-02 10:05:00","NSE","PATANJALI","606.22","606.28","605.75","605.8","1365"
"2025-01-02 10:10:00","NSE","PATANJALI","605.75","606.97","605.75","605.88","6939"
"2025-01-02 10:15:00","NSE","PATANJALI","605.88","606.58","605.75","606.42","1914"
"2025-01-02 10:20:00","NSE","PATANJALI","606.42","606.9","606.42","606.75","2394"
"2025-01-02 10:25:00","NSE","PATANJALI","606.42","606.88","606","606.02","1431"
"2025-01-02 10:30:00","NSE","PATANJALI","606.02","606.62","605.8","605.97","1452"
"2025-01-02 10:35:00","NSE","PATANJALI","606.48","609.35","605.97","609.35","24714"
"2025-01-02 10:40:00","NSE","PATANJALI","609.42","609.42","608.7","608.7","2433"
"2025-01-02 10:45:00","NSE","PATANJALI","609.27","610.25","608.32","610.25","11802"
"2025-01-02 10:50:00","NSE","PATANJALI","610.23","610.5","608.37","608.67","6375"
"2025-01-02 10:55:00","NSE","PATANJALI","608.67","610.33","608.35","609.83","4695"
"2025-01-02 11:00:00","NSE","PATANJALI","609.83","611.37","609.17","610.28","8262"
"2025-01-02 11:05:00","NSE","PATANJALI","609.95","611.67","609.88","611.47","12150"
"2025-01-02 11:10:00","NSE","PATANJALI","610.88","611.67","610.62","610.65","5613"
"2025-01-02 11:15:00","NSE","PATANJALI","610.68","611.33","610.68","610.78","1515"
"2025-01-02 11:20:00","NSE","PATANJALI","611.28","611.33","610.78","611","1641"
"2025-01-02 11:25:00","NSE","PATANJALI","611","611.32","610.83","611.25","1458"
"2025-01-02 11:30:00","NSE","PATANJALI","610.93","611.37","610.87","611.2","2577"
