datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,984,987.7,972.2,976.85,50887,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,976.85,982,971.1,974.35,29101,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,974.9,979.6,972.7,979.6,10307,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,979.9,982,973,976.05,23354,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,977.05,979,972.25,977.9,9925,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,977.9,979.9,976,977.65,7970,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,977.6,978.9,975,976.55,5589,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,976.8,979.9,975,979.4,10053,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,978.75,984.15,977.05,982,6344,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,981.35,983.9,980,980.2,7527,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,980.2,984.8,980.05,980.75,5964,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,980.95,985.9,980,983.95,10526,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,984.6,986,983,983,7980,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,983,986.85,980.45,983.95,15646,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,983.95,985,982.05,983.35,4275,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,983.85,987.7,983,986.85,6216,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,987.4,987.45,985,985.5,7213,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,985.5,996,985,995.3,23508,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,996,998,990.8,993.35,29380,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,993.35,993.35,990,990.9,11352,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,990.25,992,986.65,988.05,9626,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,988.05,988.1,981.4,985,14561,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,985,989.95,985,988.05,6719,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,988.1,994.45,988,993.6,10103,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,993,993.6,991,991.8,4133,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:20:00,991.2,991.2,987,988.95,5997,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:25:00,987.8,989.95,987,987.15,8037,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:30:00,987.05,988,985.95,986.3,4233,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:35:00,987.3,988.1,985.85,985.85,2530,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:40:00,986.1,991,985.7,989.6,10372,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:45:00,988.9,990.35,987.05,989,1742,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:50:00,989.05,991,988.7,989,2247,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:55:00,989.55,990,988.1,988.5,1749,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 12:00:00,988.5,989.5,987.35,989,1832,-0.7710,0.0000,-100.00,0.0000,100.00
2025-01-01 12:05:00,989,989.8,987.4,989.5,2468,-0.6925,0.0000,-100.00,0.0000,100.00
2025-01-01 12:10:00,989.5,989.7,983.05,983.05,11211,-1.0467,0.0000,-100.00,0.0000,100.00
2025-01-01 12:15:00,983,984.05,978.1,979.7,23810,-1.4532,0.0000,-100.00,0.0000,100.00
2025-01-01 12:20:00,980,981,979.1,980,11952,-1.6351,0.0000,-100.00,0.0000,100.00
2025-01-01 12:25:00,979.75,981,979.1,981,2778,-1.6181,0.0000,-100.00,0.0000,100.00
