datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","POLYCAB","7285","7325","7260","7280","3980"
"2025-01-01 09:20:00","NSE","POLYCAB","7280.05","7283.5","7246.05","7251.55","2231"
"2025-01-01 09:25:00","NSE","POLYCAB","7253.95","7261.2","7247.1","7260.95","939"
"2025-01-01 09:30:00","NSE","POLYCAB","7256.5","7260","7235.1","7236.55","1520"
"2025-01-01 09:35:00","NSE","POLYCAB","7236.45","7242","7225","7231.4","1234"
"2025-01-01 09:40:00","NSE","POLYCAB","7231.5","7244.95","7231.4","7240.2","459"
"2025-01-01 09:45:00","NSE","POLYCAB","7240.15","7240.15","7213.4","7218.75","1843"
"2025-01-01 09:50:00","NSE","POLYCAB","7218.75","7220","7209.8","7211.7","2125"
"2025-01-01 09:55:00","NSE","POLYCAB","7211.7","7231.4","7208.1","7225","1433"
"2025-01-01 10:00:00","NSE","POLYCAB","7227.85","7237.4","7220","7229.2","886"
"2025-01-01 10:05:00","NSE","POLYCAB","7232.3","7238.55","7228.9","7231.85","375"
"2025-01-01 10:10:00","NSE","POLYCAB","7232","7238","7220","7220","2517"
"2025-01-01 10:15:00","NSE","POLYCAB","7220","7220.65","7205","7206","1543"
"2025-01-01 10:20:00","NSE","POLYCAB","7205.1","7212.15","7202.8","7208.2","1081"
"2025-01-01 10:25:00","NSE","POLYCAB","7208.55","7221.85","7208.55","7219.25","556"
"2025-01-01 10:30:00","NSE","POLYCAB","7215.5","7224","7213.3","7221","386"
"2025-01-01 10:35:00","NSE","POLYCAB","7224","7230.95","7221.1","7230.95","373"
"2025-01-01 10:40:00","NSE","POLYCAB","7230.95","7280","7228","7278.6","5560"
"2025-01-01 10:45:00","NSE","POLYCAB","7281.95","7284.55","7266.6","7267.55","2958"
"2025-01-01 10:50:00","NSE","POLYCAB","7271.8","7285","7266.5","7270.55","2007"
"2025-01-01 10:55:00","NSE","POLYCAB","7269.5","7277","7263.1","7263.1","490"
"2025-01-01 11:00:00","NSE","POLYCAB","7265.45","7268.8","7243.2","7246.8","2337"
"2025-01-01 11:05:00","NSE","POLYCAB","7246.75","7254.9","7241.1","7242","542"
"2025-01-01 11:10:00","NSE","POLYCAB","7245.25","7246.8","7240","7244.05","127"
"2025-01-01 11:15:00","NSE","POLYCAB","7244.05","7255.8","7243.1","7253.1","271"
"2025-01-01 11:20:00","NSE","POLYCAB","7253.05","7265.95","7244","7252.9","1276"
"2025-01-01 11:25:00","NSE","POLYCAB","7252.85","7252.9","7237.1","7239.05","473"
"2025-01-01 11:30:00","NSE","POLYCAB","7237.7","7241.15","7228","7233.05","482"
"2025-01-01 11:35:00","NSE","POLYCAB","7231","7263.1","7230","7263.1","1944"
"2025-01-01 11:40:00","NSE","POLYCAB","7263.5","7268","7260","7265","480"
"2025-01-01 11:45:00","NSE","POLYCAB","7265","7269.65","7263.35","7265.1","355"
"2025-01-01 11:50:00","NSE","POLYCAB","7267.6","7267.6","7258.65","7264.8","409"
"2025-01-01 11:55:00","NSE","POLYCAB","7260","7275.2","7258.25","7264.4","1644"
"2025-01-01 12:00:00","NSE","POLYCAB","7264.4","7272","7260.25","7272","104"
