datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","POWERGRID","308.7","309.15","307.4","308.6","97307"
"2025-01-01 09:20:00","NSE","POWERGRID","308.7","308.8","307.7","308","40621"
"2025-01-01 09:25:00","NSE","POWERGRID","307.85","308.4","307.65","308.15","63685"
"2025-01-01 09:30:00","NSE","POWERGRID","308.15","308.3","307.3","307.6","35045"
"2025-01-01 09:35:00","NSE","POWERGRID","307.6","308.05","307.4","307.8","18910"
"2025-01-01 09:40:00","NSE","POWERGRID","307.8","308","307.05","307.25","69223"
"2025-01-01 09:45:00","NSE","POWERGRID","307.25","307.25","306.4","306.45","109430"
"2025-01-01 09:50:00","NSE","POWERGRID","306.55","306.65","306.1","306.15","57082"
"2025-01-01 09:55:00","NSE","POWERGRID","306.1","306.7","305.9","306.25","83794"
"2025-01-01 10:00:00","NSE","POWERGRID","306.25","306.45","305.9","306","35669"
"2025-01-01 10:05:00","NSE","POWERGRID","306.05","306.5","305.95","306.3","40149"
"2025-01-01 10:10:00","NSE","POWERGRID","306.3","307.2","306.05","306.4","62139"
"2025-01-01 10:15:00","NSE","POWERGRID","306.55","306.75","306.15","306.6","20038"
"2025-01-01 10:20:00","NSE","POWERGRID","306.5","306.75","306.05","306.25","42937"
"2025-01-01 10:25:00","NSE","POWERGRID","306.45","306.75","306.25","306.55","14782"
"2025-01-01 10:30:00","NSE","POWERGRID","306.55","306.75","306.3","306.5","22718"
"2025-01-01 10:35:00","NSE","POWERGRID","306.5","306.95","306.3","306.8","22556"
"2025-01-01 10:40:00","NSE","POWERGRID","306.8","306.95","306.65","306.8","27040"
"2025-01-01 10:45:00","NSE","POWERGRID","306.7","307.45","306.4","307.25","60983"
"2025-01-01 10:50:00","NSE","POWERGRID","307.4","307.9","307.15","307.55","63308"
"2025-01-01 10:55:00","NSE","POWERGRID","307.65","307.9","307.45","307.8","48728"
"2025-01-01 11:00:00","NSE","POWERGRID","307.8","307.9","307.5","307.7","43989"
"2025-01-01 11:05:00","NSE","POWERGRID","307.7","308.25","307.5","308.15","55785"
"2025-01-01 11:10:00","NSE","POWERGRID","308.15","308.2","307.55","307.95","35717"
"2025-01-01 11:15:00","NSE","POWERGRID","307.95","308.2","307.6","308.1","37380"
"2025-01-01 11:20:00","NSE","POWERGRID","308.1","308.1","307.7","307.85","25574"
"2025-01-01 11:25:00","NSE","POWERGRID","307.85","307.85","306.95","307.75","42291"
"2025-01-01 11:30:00","NSE","POWERGRID","307.75","308","307.4","307.5","14690"
"2025-01-01 11:35:00","NSE","POWERGRID","307.5","307.65","307.05","307.2","23546"
"2025-01-01 11:40:00","NSE","POWERGRID","307.1","307.6","307.05","307.25","33284"
"2025-01-01 11:45:00","NSE","POWERGRID","307.25","307.5","307","307","32497"
"2025-01-01 11:50:00","NSE","POWERGRID","307.2","307.25","306.75","306.8","35981"
"2025-01-01 11:55:00","NSE","POWERGRID","306.9","307.2","306.65","306.85","23142"
"2025-01-01 12:00:00","NSE","POWERGRID","306.95","307","306.55","306.6","22813"
"2025-01-01 12:05:00","NSE","POWERGRID","306.65","307.2","306.5","307.15","59062"
"2025-01-01 12:10:00","NSE","POWERGRID","307.2","307.5","306.75","307.4","38604"
"2025-01-01 12:15:00","NSE","POWERGRID","307.5","308","307.35","307.95","61051"
"2025-01-01 12:20:00","NSE","POWERGRID","307.95","308.4","307.85","308.05","27145"
"2025-01-01 12:25:00","NSE","POWERGRID","308.15","308.6","308.05","308.55","56277"
"2025-01-01 12:30:00","NSE","POWERGRID","308.55","308.85","308.2","308.4","52529"
"2025-01-01 12:35:00","NSE","POWERGRID","308.4","309.3","308.1","309.15","88682"
"2025-01-01 12:40:00","NSE","POWERGRID","309.15","309.9","309.1","309.7","133782"
"2025-01-01 12:45:00","NSE","POWERGRID","309.75","309.85","309.3","309.4","51976"
"2025-01-01 12:50:00","NSE","POWERGRID","309.4","310.55","309.4","310.05","155147"
