datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","RVNL","425.6","428.8","421.4","428","369229"
"2025-01-01 09:20:00","NSE","RVNL","428","432.65","425.6","430.95","308929"
"2025-01-01 09:25:00","NSE","RVNL","431","431","429.1","430.45","134862"
"2025-01-01 09:30:00","NSE","RVNL","430.45","431","427.8","429.9","128248"
"2025-01-01 09:35:00","NSE","RVNL","429.9","430.2","427.95","429.8","90915"
"2025-01-01 09:40:00","NSE","RVNL","429.8","430.15","429","429.65","48876"
"2025-01-01 09:45:00","NSE","RVNL","429.5","429.55","427.3","428","58076"
"2025-01-01 09:50:00","NSE","RVNL","427.7","428.6","427.15","428.45","34337"
"2025-01-01 09:55:00","NSE","RVNL","428.2","430.95","427.55","430.2","56591"
"2025-01-01 10:00:00","NSE","RVNL","430.05","430.5","428","429","46819"
"2025-01-01 10:05:00","NSE","RVNL","429","430.5","428.7","429.85","39345"
"2025-01-01 10:10:00","NSE","RVNL","429.85","430.65","429.5","429.8","50225"
"2025-01-01 10:15:00","NSE","RVNL","429.8","430.4","429.5","430.05","26932"
"2025-01-01 10:20:00","NSE","RVNL","430.05","430.5","429.3","429.9","35543"
"2025-01-01 10:25:00","NSE","RVNL","429.9","430","428.7","429.45","33467"
"2025-01-01 10:30:00","NSE","RVNL","429.45","429.7","428.45","428.55","18713"
"2025-01-01 10:35:00","NSE","RVNL","428.5","429.85","428.1","429.6","19491"
"2025-01-01 10:40:00","NSE","RVNL","429.7","429.8","429.05","429.65","23965"
"2025-01-01 10:45:00","NSE","RVNL","429.65","430.2","429.35","430.2","21095"
"2025-01-01 10:50:00","NSE","RVNL","430.2","430.2","429.05","429.5","20909"
"2025-01-01 10:55:00","NSE","RVNL","429.8","429.95","429.4","429.55","18717"
"2025-01-01 11:00:00","NSE","RVNL","429.8","430.2","429.45","430.1","26076"
"2025-01-01 11:05:00","NSE","RVNL","430.1","430.45","429.5","430.25","11653"
"2025-01-01 11:10:00","NSE","RVNL","430.25","430.45","429.6","430","23786"
"2025-01-01 11:15:00","NSE","RVNL","430.1","430.3","429.5","429.95","14038"
"2025-01-01 11:20:00","NSE","RVNL","429.95","430","429.4","429.4","18563"
"2025-01-01 11:25:00","NSE","RVNL","429.65","429.65","428.5","428.95","24929"
"2025-01-01 11:30:00","NSE","RVNL","428.75","429.05","428.2","428.55","23136"
