datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","SRF","2234.55","2243.5","2230.5","2241.7","1102"
"2025-01-01 09:20:00","NSE","SRF","2239.8","2239.8","2230.55","2233","1156"
"2025-01-01 09:25:00","NSE","SRF","2233.05","2238","2233","2234.5","384"
"2025-01-01 09:30:00","NSE","SRF","2233.6","2234.35","2217.95","2221.5","5938"
"2025-01-01 09:35:00","NSE","SRF","2221.4","2224.1","2218.7","2223.5","772"
"2025-01-01 09:40:00","NSE","SRF","2222.8","2223.45","2218.1","2219.4","973"
"2025-01-01 09:45:00","NSE","SRF","2219.4","2219.7","2210.2","2211.55","3174"
"2025-01-01 09:50:00","NSE","SRF","2211.6","2216.6","2209.2","2215.45","1549"
"2025-01-01 09:55:00","NSE","SRF","2215.1","2220.45","2212.9","2220.45","1462"
"2025-01-01 10:00:00","NSE","SRF","2220.85","2221.1","2213.05","2215.35","908"
"2025-01-01 10:05:00","NSE","SRF","2216.95","2218.35","2213.4","2214.7","429"
"2025-01-01 10:10:00","NSE","SRF","2215.35","2219","2213.55","2217.25","586"
"2025-01-01 10:15:00","NSE","SRF","2217.3","2217.35","2213.35","2215.15","1348"
"2025-01-01 10:20:00","NSE","SRF","2215.15","2217.3","2213","2217.3","2098"
"2025-01-01 10:25:00","NSE","SRF","2217","2219.5","2216.75","2217.8","1396"
"2025-01-01 10:30:00","NSE","SRF","2217.05","2223","2216.8","2223","665"
"2025-01-01 10:35:00","NSE","SRF","2223","2223","2220.55","2221.7","399"
"2025-01-01 10:40:00","NSE","SRF","2221.7","2223","2220","2221.15","579"
"2025-01-01 10:45:00","NSE","SRF","2221.2","2221.9","2218","2221.9","354"
"2025-01-01 10:50:00","NSE","SRF","2221.8","2224.55","2220.25","2224.55","2458"
"2025-01-01 10:55:00","NSE","SRF","2223.2","2225","2219.15","2224.25","1697"
"2025-01-01 11:00:00","NSE","SRF","2224","2225.95","2223.9","2224.2","321"
"2025-01-01 11:05:00","NSE","SRF","2225.3","2225.7","2223.1","2224.5","675"
"2025-01-01 11:10:00","NSE","SRF","2224.5","2225.6","2222","2225","795"
"2025-01-01 11:15:00","NSE","SRF","2225","2232","2224.1","2229","1005"
"2025-01-01 11:20:00","NSE","SRF","2229","2229.45","2225","2226.4","474"
"2025-01-01 11:25:00","NSE","SRF","2226.9","2227.5","2221.5","2223.95","1077"
"2025-01-01 11:30:00","NSE","SRF","2223.2","2224.45","2220.3","2221.65","603"
"2025-01-01 11:35:00","NSE","SRF","2222.2","2223.45","2219.75","2221.75","370"
"2025-01-01 11:40:00","NSE","SRF","2222.9","2223.45","2220.05","2222.7","636"
"2025-01-01 11:45:00","NSE","SRF","2222.75","2223.7","2221.45","2222.6","330"
"2025-01-01 11:50:00","NSE","SRF","2222.6","2222.8","2218.9","2220.7","745"
"2025-01-01 11:55:00","NSE","SRF","2220.7","2221.45","2218","2220.45","1362"
"2025-01-01 12:00:00","NSE","SRF","2220.45","2224.4","2218.9","2224.4","277"
"2025-01-01 12:05:00","NSE","SRF","2224.3","2224.7","2221.2","2224.7","361"
"2025-01-01 12:10:00","NSE","SRF","2224.6","2224.6","2220.05","2222.9","552"
