datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,62.64,62.92,62.07,62.92,1729405,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,62.92,63.6,62.7,63.6,1357841,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,63.59,63.89,63.3,63.69,1461335,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,63.69,63.82,63.42,63.8,974621,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,63.79,64.14,63.68,63.88,1142576,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,63.88,63.97,63.72,63.89,440855,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,63.88,64.15,63.67,64.05,798518,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,64.01,64.5,63.86,64.2,2457182,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,64.19,64.2,63.87,63.96,1055071,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,63.96,64.1,63.8,63.86,407776,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,63.86,64,63.84,63.99,332420,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,63.99,64.64,63.94,64.33,1720054,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,64.33,64.33,63.75,64.1,818637,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,64.13,64.23,63.9,63.97,429072,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,64,64.07,63.86,63.92,434608,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,63.95,64,63.81,63.89,323292,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,63.9,64,63.85,63.94,273323,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,63.97,64.1,63.82,64.03,248785,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,64.03,64.2,63.92,63.97,339104,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,63.98,64,63.85,63.96,451176,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,63.96,64,63.85,63.88,185211,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,63.88,63.92,63.63,63.71,494059,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,63.74,63.8,63.63,63.7,388824,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,63.74,63.77,63.5,63.6,575400,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,63.56,63.76,63.55,63.75,207261,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:20:00,63.75,63.87,63.71,63.85,210240,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:25:00,63.85,63.85,63.71,63.75,174953,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:30:00,63.77,63.82,63.66,63.68,135325,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:35:00,63.69,63.75,63.6,63.7,159741,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:40:00,63.66,63.83,63.64,63.74,153254,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:45:00,63.74,63.89,63.69,63.78,212869,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:50:00,63.79,63.82,63.72,63.78,116118,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:55:00,63.78,63.85,63.71,63.85,119375,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 12:00:00,63.85,64.1,63.82,64.06,373163,0.0330,0.0000,100.00,0.0000,100.00
2025-01-01 12:05:00,64.06,64.19,64,64.15,297787,0.0477,0.0000,100.00,0.0000,100.00
2025-01-01 12:10:00,64.15,64.16,63.88,63.89,205375,0.0382,0.0000,100.00,0.0000,100.00
2025-01-01 12:15:00,63.93,64.08,63.87,64.04,148886,0.0400,0.0000,100.00,0.0000,100.00
2025-01-01 12:20:00,64.04,64.13,64.02,64.12,108858,0.0442,0.0000,100.00,0.0000,100.00
2025-01-01 12:25:00,64.11,64.14,64,64.1,172259,0.0433,0.0000,100.00,0.0000,100.00
2025-01-01 12:30:00,64.1,64.13,64.05,64.09,148570,0.0397,0.0000,100.00,0.0000,100.00
2025-01-01 12:35:00,64.09,64.1,64.01,64.06,144436,0.0333,0.0000,100.00,0.0000,100.00
2025-01-01 12:40:00,64.06,64.1,64,64.05,130892,0.0267,0.0000,100.00,0.0000,100.00
2025-01-01 12:45:00,64.05,64.17,64.04,64.1,221909,0.0240,0.0000,100.00,0.0000,100.00
2025-01-01 12:50:00,64.07,64.17,64.07,64.14,133842,0.0233,0.0000,100.00,0.0000,100.00
2025-01-01 12:55:00,64.11,64.2,64.05,64.15,304551,0.0218,0.0000,100.00,0.0000,100.00
2025-01-01 13:00:00,64.15,64.4,64.13,64.29,612888,0.0282,0.0000,100.00,0.0000,100.00
2025-01-01 13:05:00,64.29,64.55,64.28,64.36,753036,0.0347,0.0000,100.00,0.0000,100.00
2025-01-01 13:10:00,64.39,64.39,64.2,64.27,269830,0.0306,0.0000,100.00,0.0000,100.00
2025-01-01 13:15:00,64.26,64.49,64.26,64.36,369331,0.0315,0.0000,100.00,0.0000,100.00
2025-01-01 13:20:00,64.32,64.5,64.32,64.45,325561,0.0354,0.0000,100.00,0.0000,100.00
2025-01-01 13:25:00,64.43,64.45,64.28,64.44,200195,0.0345,0.0000,100.00,0.0000,100.00
2025-01-01 13:30:00,64.42,64.44,64.3,64.4,163823,0.0287,0.0000,100.00,0.0000,100.00
2025-01-01 13:35:00,64.4,64.44,64.29,64.35,251905,0.0194,0.0000,100.00,0.0000,100.00
2025-01-01 13:40:00,64.3,64.49,64.25,64.47,231476,0.0191,0.0000,100.00,0.0000,100.00
2025-01-01 13:45:00,64.48,64.53,64.4,64.44,242196,0.0150,0.0000,100.00,0.0000,100.00
2025-01-01 13:50:00,64.44,64.55,64.41,64.55,393137,0.0176,0.0000,100.00,0.0000,100.00
2025-01-01 13:55:00,64.55,65.18,64.46,64.89,3519160,0.0388,0.0000,100.00,0.0000,100.00
2025-01-01 14:00:00,64.89,64.99,64.78,64.91,738334,0.0502,0.0000,100.00,0.0000,100.00
2025-01-01 14:05:00,64.93,65.33,64.89,65.33,4396190,0.0801,0.0000,100.00,0.0000,100.00
