datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,6816.55,6840,6777.05,6820.75,3797,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,6819.95,6825.8,6807.15,6820,1606,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,6821,6822.05,6806.05,6810.05,760,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,6814.95,6819,6799,6800.2,1000,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,6799.4,6810,6794,6807.3,1383,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,6807.25,6810,6800.15,6809.4,800,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,6807.45,6807.5,6777,6777,1821,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,6778,6780,6767.1,6770,1349,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,6770,6779.95,6765,6779.55,1397,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,6775.4,6782,6773.6,6780,604,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,6779.85,6779.9,6770,6770.2,956,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,6771,6784.4,6770.25,6779.65,1161,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,6779.65,6783.95,6775.05,6783.4,192,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,6782.2,6783.95,6770.6,6774.6,658,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,6774.6,6783.95,6774.6,6776.5,1450,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,6776.5,6778.6,6771,6778.6,539,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,6778.6,6782.3,6775,6782,303,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,6781.85,6783.95,6776.3,6780.65,197,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,6780,6783,6771,6778.05,1299,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,6779,6783.65,6774.1,6779.65,1765,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,6778.3,6780.35,6772.2,6779.1,629,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,6779.15,6779.15,6740,6742,5484,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,6742,6742,6711.6,6727.85,8127,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,6727.85,6736.75,6722,6734.7,2328,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,6730.7,6745,6730,6740.4,1213,0.0000,0.0000,0.00,0.0000,100.00
