datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-01-01 09:15:00,448.31,449.1,446.16,448.97,477653,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:20:00,448.88,449.64,447.85,448.46,238701,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:25:00,448.31,448.55,447.58,448.43,142121,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:30:00,448.55,450.16,448.13,449.79,289754,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:35:00,449.73,450.4,448.88,450.22,242003,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:40:00,450.22,450.28,448.22,448.55,188061,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:45:00,448.34,448.55,446.55,446.89,311892,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:50:00,447.01,447.07,446.28,446.95,152263,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 09:55:00,446.86,446.95,445.68,446.22,317350,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:00:00,446.34,447.13,445.55,446.1,183294,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:05:00,446.1,446.73,445.89,446.28,83710,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:10:00,446.16,447.61,446.16,447.13,145590,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:15:00,447.13,447.13,446.16,446.46,114752,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:20:00,446.46,447.4,445.8,447.37,138837,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:25:00,447.37,448.19,447.13,447.95,164953,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:30:00,447.76,448.34,447.55,447.82,118702,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:35:00,447.82,448.52,447.64,448.28,73193,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:40:00,448.49,448.52,447.98,448.28,64118,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:45:00,448.16,448.82,447.98,448.76,125979,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:50:00,448.79,449.61,448.73,449.28,305603,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 10:55:00,449.28,449.79,449.13,449.19,128435,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:00:00,449.37,450.03,449,449.46,262300,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:05:00,449.34,449.46,449.19,449.28,64998,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:10:00,449.25,449.31,448.76,449.1,146313,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:15:00,449.1,449.76,448.76,449.34,92261,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:20:00,449.46,449.52,449.19,449.22,101037,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:25:00,449.37,449.58,448.64,448.85,80755,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:30:00,448.88,449.4,448.01,448.16,119708,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:35:00,448.16,448.37,447.61,447.82,98196,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:40:00,447.73,448.52,447.73,448.34,68799,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:45:00,448.34,448.82,447.82,448.16,70228,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:50:00,448.07,448.13,447.67,447.79,48996,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 11:55:00,447.88,447.98,447.55,447.98,38542,0.0000,0.0000,0.00,0.0000,100.00
2025-01-01 12:00:00,447.95,448.28,447.67,448.25,50433,-0.2230,0.0000,-100.00,0.0000,100.00
2025-01-01 12:05:00,448.25,448.46,447.98,448.28,56980,-0.1888,0.0000,-100.00,0.0000,100.00
2025-01-01 12:10:00,448.43,448.55,448.07,448.4,47258,-0.1525,0.0000,-100.00,0.0000,100.00
2025-01-01 12:15:00,448.52,449.31,448.4,449.22,95460,-0.0719,0.0000,-100.00,0.0000,100.00
2025-01-01 12:20:00,449.31,449.79,449.19,449.31,146049,-0.0142,0.0000,-100.00,0.0000,100.00
2025-01-01 12:25:00,449.31,449.49,449.04,449.16,51892,0.0109,0.0000,100.00,0.0000,100.00
2025-01-01 12:30:00,449.16,449.37,449,449.16,43527,0.0237,0.0000,100.00,0.0000,100.00
2025-01-01 12:35:00,449.16,449.31,448.7,449.04,53845,0.0205,0.0000,100.00,0.0000,100.00
2025-01-01 12:40:00,449.04,449.07,448.58,448.88,54082,0.0049,0.0000,100.00,0.0000,100.00
2025-01-01 12:45:00,448.88,449.49,448.61,449.31,95914,0.0198,0.0000,100.00,0.0000,100.00
2025-01-01 12:50:00,449.31,449.46,448.97,449.25,75636,0.0219,0.0000,100.00,0.0000,100.00
2025-01-01 12:55:00,449.25,449.28,448.7,448.76,54860,-0.0117,0.0000,-100.00,0.0000,100.00
2025-01-01 13:00:00,448.79,448.85,448.34,448.82,66909,-0.0308,0.0000,-100.00,0.0000,100.00
2025-01-01 13:05:00,448.82,449.07,448.28,448.52,96937,-0.0627,0.0000,-100.00,0.0000,100.00
2025-01-01 13:10:00,448.52,448.7,447.73,448.52,124837,-0.0817,0.0000,-100.00,0.0000,100.00
2025-01-01 13:15:00,448.52,449.16,448.52,448.73,50523,-0.0780,0.0000,-100.00,0.0000,100.00
2025-01-01 13:20:00,448.73,448.97,448.52,448.85,47323,-0.0658,0.0000,-100.00,0.0000,100.00
2025-01-01 13:25:00,448.85,448.94,448.55,448.85,36554,-0.0564,0.0000,-100.00,0.0000,100.00
2025-01-01 13:30:00,448.85,449.07,448.61,448.82,54667,-0.0511,0.0000,-100.00,0.0000,100.00
2025-01-01 13:35:00,448.82,448.85,448.28,448.61,59220,-0.0600,0.0000,-100.00,0.0000,100.00
2025-01-01 13:40:00,448.61,449,448.61,449,61405,-0.0389,0.0000,-100.00,0.0000,100.00
2025-01-01 13:45:00,448.88,449.67,448.88,449.55,193444,0.0102,0.0000,100.00,0.0000,100.00
2025-01-01 13:50:00,449.52,450.19,449.13,450.03,211964,0.0697,0.0000,100.00,0.0000,100.00
2025-01-01 13:55:00,450.03,453.42,449.88,453.09,858065,0.2972,0.0000,100.00,0.0000,100.00
2025-01-01 14:00:00,453.12,454.51,452.91,453.61,566646,0.4553,0.0000,100.00,0.0000,100.00
2025-01-01 14:05:00,453.61,454.7,453.55,454.27,398718,0.5695,0.0000,100.00,0.0000,100.00
2025-01-01 14:10:00,454.39,454.45,453.12,453.64,316088,0.5665,0.0000,100.00,0.0000,100.00
2025-01-01 14:15:00,453.64,453.7,452.64,453.48,339512,0.5190,0.0000,100.00,0.0000,100.00
2025-01-01 14:20:00,453.48,453.64,452.82,453,174388,0.4244,0.0000,100.00,0.0000,100.00
2025-01-01 14:25:00,453,453.21,452.52,453,137476,0.3350,0.0000,100.00,0.0000,100.00
2025-01-01 14:30:00,453,453.64,453,453.55,126023,0.2878,0.0000,100.00,0.0000,100.00
2025-01-01 14:35:00,453.64,454.36,453.21,454.27,250761,0.2798,0.0000,100.00,0.0000,100.00
2025-01-01 14:40:00,454.27,454.42,453.76,454.03,222063,0.2348,0.0000,100.00,0.0000,100.00
2025-01-01 14:45:00,453.88,454.09,453.09,453.58,196908,0.1550,0.0000,100.00,0.0000,100.00
2025-01-01 14:50:00,453.58,453.79,453.15,453.42,162259,0.0759,0.0000,100.00,0.0000,100.00
2025-01-01 14:55:00,453.42,453.97,453.09,453.76,199660,0.0330,0.0000,100.00,0.0000,100.00
2025-01-01 15:00:00,453.91,454.15,453.27,453.42,229652,-0.0285,0.0000,-100.00,0.0000,100.00
2025-01-01 15:05:00,453.48,453.55,452.97,453.18,244520,-0.0918,0.0000,-100.00,0.0000,100.00
2025-01-01 15:10:00,453.24,453.79,452.91,453.73,242791,-0.1025,0.0000,-100.00,0.0000,100.00
2025-01-01 15:15:00,453.79,453.97,453.21,453.55,556456,-0.1258,0.0000,-100.00,0.0000,100.00
2025-01-01 15:20:00,453.61,453.79,453.18,453.73,329400,-0.1327,0.0000,-100.00,0.0000,100.00
2025-01-01 15:25:00,453.73,453.94,453.48,453.94,243105,-0.1267,0.0000,-100.00,0.0000,100.00
2025-01-02 09:15:00,459.72,462.99,456.48,457.09,2162313,0.0751,-0.1267,-159.27,453.9400,0.69
2025-01-02 09:20:00,456.94,457.09,454.7,455.18,911500,0.0658,-0.1267,-151.93,453.9400,0.27
2025-01-02 09:25:00,454.97,455.97,454.39,454.54,839372,0.0057,-0.1267,-104.50,453.9400,0.13
2025-01-02 09:30:00,454.6,456.12,454.15,455.3,514505,0.0061,-0.1267,-104.81,453.9400,0.30
2025-01-02 09:35:00,455.3,455.79,454.63,455.3,384751,-0.0040,-0.1267,-96.84,453.9400,0.30
2025-01-02 09:40:00,455.3,456,454.76,455.69,270343,0.0047,-0.1267,-103.71,453.9400,0.39
2025-01-02 09:45:00,455.69,455.85,454.63,454.79,256865,-0.0575,-0.1267,-54.62,453.9400,0.19
2025-01-02 09:50:00,454.88,454.97,453.64,454.48,589303,-0.1233,-0.1267,-2.68,453.9400,0.12
2025-01-02 09:55:00,454.54,455.63,454.36,454.82,265075,-0.1460,-0.1267,15.23,453.9400,0.19
2025-01-02 10:00:00,454.82,454.85,454.06,454.45,168002,-0.1855,-0.1267,46.41,453.9400,0.11
2025-01-02 10:05:00,454.45,455.15,454.33,454.45,194835,-0.2094,-0.1267,65.27,453.9400,0.11
2025-01-02 10:10:00,454.51,455.6,454.03,454.03,340544,-0.2487,-0.1267,96.29,453.9400,0.02
2025-01-02 10:15:00,454.06,455,453.76,454.51,230053,-0.2375,-0.1267,87.45,453.9400,0.13
2025-01-02 10:20:00,454.51,455.24,454.42,454.91,168207,-0.1998,-0.1267,57.70,453.9400,0.21
2025-01-02 10:25:00,454.91,455.09,454.12,454.48,149404,-0.2000,-0.1267,57.85,453.9400,0.12
2025-01-02 10:30:00,454.48,454.94,454.24,454.88,134938,-0.1705,-0.1267,34.57,453.9400,0.21
2025-01-02 10:35:00,454.88,455.72,454.85,455.45,327914,-0.1127,-0.1267,-11.05,453.9400,0.33
2025-01-02 10:40:00,455.45,456.06,455.27,455.85,266855,-0.0508,-0.1267,-59.91,453.9400,0.42
2025-01-02 10:45:00,455.97,456.09,455.24,455.69,226218,-0.0252,-0.1267,-80.11,453.9400,0.39
2025-01-02 10:50:00,455.82,455.94,455.24,455.42,152803,-0.0307,-0.1267,-75.77,453.9400,0.33
2025-01-02 10:55:00,455.45,455.48,454.85,455.03,112934,-0.0629,-0.1267,-50.36,453.9400,0.24
2025-01-02 11:00:00,455.03,455.09,454.24,454.33,185598,-0.1298,-0.1267,2.45,453.9400,0.09
2025-01-02 11:05:00,454.33,455.45,454.27,454.97,161986,-0.1292,-0.1267,1.97,453.9400,0.23
2025-01-02 11:10:00,455.09,455.18,454.88,455.15,96015,-0.1153,-0.1267,-9.00,453.9400,0.27
2025-01-02 11:15:00,455.15,455.21,454.63,454.76,111156,-0.1300,-0.1267,2.60,453.9400,0.18
2025-01-02 11:20:00,454.67,454.88,454.39,454.51,125126,-0.1525,-0.1267,20.36,453.9400,0.13
2025-01-02 11:25:00,454.45,454.7,454.06,454.39,136995,-0.1702,-0.1267,34.33,453.9400,0.10
2025-01-02 11:30:00,454.48,455.18,454.36,454.76,118953,-0.1522,-0.1267,20.13,453.9400,0.18
2025-01-02 11:35:00,454.67,455.66,454.57,455.09,207485,-0.1151,-0.1267,-9.16,453.9400,0.25
2025-01-02 11:40:00,455.12,455.36,454.79,455.24,79290,-0.0790,-0.1267,-37.65,453.9400,0.29
2025-01-02 11:45:00,455.33,455.36,454.82,455.36,147313,-0.0474,-0.1267,-62.59,453.9400,0.31
2025-01-02 11:50:00,455.27,455.97,454.88,454.94,195301,-0.0544,-0.1267,-57.06,453.9400,0.22
2025-01-02 11:55:00,455.09,456.15,454.91,456.15,221222,0.0188,-0.1267,-114.84,453.9400,0.49
2025-01-02 12:00:00,456.06,457.63,456.06,457.3,706705,0.1346,-0.1267,-206.24,453.9400,0.74
2025-01-02 12:05:00,457.3,458.15,457.24,457.72,384887,0.2241,-0.1267,-276.87,453.9400,0.83
2025-01-02 12:10:00,457.72,457.96,456.45,456.51,329534,0.1879,-0.1267,-248.30,453.9400,0.57
2025-01-02 12:15:00,456.48,457.06,456.09,456.57,339317,0.1554,-0.1267,-222.65,453.9400,0.58
2025-01-02 12:20:00,456.66,457.42,456.45,457.12,119601,0.1579,-0.1267,-224.63,453.9400,0.70
2025-01-02 12:25:00,457.12,457.9,457.06,457.42,243067,0.1659,-0.1267,-230.94,453.9400,0.77
2025-01-02 12:30:00,457.45,458.15,457.36,457.66,301642,0.1727,-0.1267,-236.31,453.9400,0.82
2025-01-02 12:35:00,457.66,457.9,457.18,457.63,212849,0.1607,-0.1267,-226.84,453.9400,0.81
2025-01-02 12:40:00,457.63,457.81,457.12,457.24,206559,0.1143,-0.1267,-190.21,453.9400,0.73
2025-01-02 12:45:00,457.21,458.09,457.12,457.48,217256,0.0887,-0.1267,-170.01,453.9400,0.78
2025-01-02 12:50:00,457.42,458.27,457.24,457.96,198166,0.0925,-0.1267,-173.01,453.9400,0.89
2025-01-02 12:55:00,457.93,457.96,457.06,457.18,192358,0.0340,-0.1267,-126.84,453.9400,0.71
2025-01-02 13:00:00,457.12,457.63,456.78,457.21,171328,-0.0089,-0.1267,-92.98,453.9400,0.72
2025-01-02 13:05:00,457.21,457.57,456.91,457.51,99370,-0.0225,-0.1267,-82.24,453.9400,0.79
2025-01-02 13:10:00,457.51,458.51,457.24,458.21,254726,0.0086,-0.1267,-106.79,453.9400,0.94
