datetime,exchange_code,stock_code,open,high,low,close,volume
"2025-01-01 09:15:00","NSE","VBL","638.5","642.5","637.5","638.3","37163"
"2025-01-01 09:20:00","NSE","VBL","638.3","640.2","637.5","638.95","16558"
"2025-01-01 09:25:00","NSE","VBL","638.9","641","638.9","640.35","25324"
"2025-01-01 09:30:00","NSE","VBL","640","641.95","639.95","640.6","20662"
"2025-01-01 09:35:00","NSE","VBL","640.6","641","640.25","640.75","6961"
"2025-01-01 09:40:00","NSE","VBL","641","642.5","640.45","642.25","73509"
"2025-01-01 09:45:00","NSE","VBL","642.25","642.65","640.4","641","36416"
"2025-01-01 09:50:00","NSE","VBL","641.35","641.5","640.3","640.85","19823"
"2025-01-01 09:55:00","NSE","VBL","640.85","641.45","640.2","640.85","30232"
"2025-01-01 10:00:00","NSE","VBL","640.8","642.75","640.45","641.25","13971"
"2025-01-01 10:05:00","NSE","VBL","641.05","641.45","640.15","640.85","24113"
"2025-01-01 10:10:00","NSE","VBL","640.85","641.5","640.4","640.4","10287"
"2025-01-01 10:15:00","NSE","VBL","640.8","641.15","640.35","640.8","7539"
"2025-01-01 10:20:00","NSE","VBL","640.8","641.1","640.2","640.65","11920"
"2025-01-01 10:25:00","NSE","VBL","640.6","641.5","640.4","641.1","7280"
"2025-01-01 10:30:00","NSE","VBL","641.15","641.9","640.7","641.7","9709"
"2025-01-01 10:35:00","NSE","VBL","641.9","641.9","641.25","641.7","5967"
"2025-01-01 10:40:00","NSE","VBL","641.7","642","641","641.7","16978"
"2025-01-01 10:45:00","NSE","VBL","641.65","641.75","641.15","641.7","5916"
"2025-01-01 10:50:00","NSE","VBL","641.7","642.4","641.1","641.5","73984"
"2025-01-01 10:55:00","NSE","VBL","641.75","641.75","641.2","641.35","5054"
"2025-01-01 11:00:00","NSE","VBL","641.35","641.7","640.45","640.45","15954"
"2025-01-01 11:05:00","NSE","VBL","640.7","641","640.45","640.45","13695"
"2025-01-01 11:10:00","NSE","VBL","640.6","640.7","640.3","640.5","7583"
